UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
81,March 21 2015,DOG,Doberman Pinscher,8,F,false,Brooklyn,11204
82,March 22 2015,DOG,Shih Tzu,7,M,true,Brooklyn,11208
83,March 22 2015,DOG,German Shepherd,,U,false,Brooklyn,11217
84,March 21 2015,DOG,"Bull Dog, French",6,M,true,Brooklyn,11217
85,February 02 2015,DOG,Pekingese,4,M,false,Brooklyn,11238
86,March 15 2015,DOG,Chihuahua,6,M,false,Brooklyn,11221
87,March 25 2015,DOG,TERRIER,5,M,false,Brooklyn,11027
88,March 29 2015,DOG,Pit Bull,1,M,false,Brooklyn,11224
89,March 20 2015,DOG,HARRIER/BEAGLE,10 M,M,true,Brooklyn,11235
90,March 27 2015,DOG,TERRIER,,U,false,Brooklyn,11215
91,March 28 2015,DOG,"Dachshund, Long Haired Miniature",4,M,true,Brooklyn,11234
92,March 29 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11217
93,March 24 2015,DOG,BOXER X W/ PIT BULL,8,M,true,Brooklyn,11231
94,March 31 2015,DOG,Cocker Spaniel,3,F,false,Brooklyn,
95,April 03 2015,DOG,Yorkshire Terrier,6,M,true,Brooklyn,11233
96,April 02 2015,DOG,Chihuahua,,U,false,Brooklyn,
97,April 06 2015,DOG,Bull dog,8M,M,false,Brooklyn,11213
98,April 06 2015,DOG,American Staffordshire Terrier,,U,false,Brooklyn,11224
99,April 06 2015,DOG,American Pit Bull Terrier/Pit Bull,4,F,true,Brooklyn,11212
100,March 31 2015,DOG,PITBULL/LAB RETRIEVER,5,F,true,Brooklyn,
101,March 27 2015,DOG,BOXER/RHODESIAN RIDGEBACK X,5,F,false,Brooklyn,11214
102,April 06 2015,DOG,Chihuahua Crossbreed,4M,M,false,Brooklyn,11205
103,April 06 2015,DOG,"Poodle, Standard",2,M,false,Brooklyn,11213
104,April 07 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11231
105,April 01 2015,DOG,Bull Terrier,1,M,false,Brooklyn,11201
106,April 08 2015,DOG,CATAHOULA LEOPARD DOG,1,M,true,Brooklyn,11235
107,April 06 2015,DOG,Yorkshire Terrier,6,F,false,Brooklyn,11219
108,April 10 2015,DOG,Cocker Spaniel Crossbreed,5,M,true,Brooklyn,11206
109,April 03 2015,DOG,BOXER/HOUND/PITBULL,6,F,true,Brooklyn,11216
110,April 12 2015,DOG,German Shepherd,11,F,true,Brooklyn,11209
111,April 10 2015,DOG,"Bull Dog, English",9M,M,false,Brooklyn,11220
112,April 10 2015,DOG,American Pit Bull Terrier/Pit Bull,6M,M,false,Brooklyn,11224
113,April 12 2015,DOG,Chihuahua,9,F,true,Brooklyn,11224
114,April 13 2015,DOG,Pit Bull,9,M,false,Brooklyn,11207
115,April 13 2015,DOG,Chihuahua,9M,M,false,Brooklyn,11208
116,April 14 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,F,true,Brooklyn,11216
117,April 10 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,true,Brooklyn,
118,April 10 2015,DOG,Siberian Husky,,U,false,Brooklyn,11226
119,April 14 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
120,April 16 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,false,Brooklyn,11208
121,April 16 2015,DOG,Rottweiler,1,M,true,Brooklyn,11228
122,April 14 2015,DOG,Beagle Crossbreed,19,M,false,Brooklyn,11214
123,April 18 2015,DOG,AUSTRALIAN CATTLE,,F,false,Brooklyn,
124,April 11 2015,DOG,Pit Bull,,U,false,Brooklyn,11207
125,April 15 2015,DOG,Pit Bull,,U,false,Brooklyn,
126,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11221
127,April 19 2015,DOG,German Shepherd Crossbreed,15,F,true,Brooklyn,11222
128,April 17 2015,DOG,Border Terrier,3,M,true,Brooklyn,
129,April 17 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11231
130,April 19 2015,DOG,ITALIAN MASTIFF,3,F,false,Brooklyn,11221
131,April 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11235
132,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11221
133,April 17 2015,DOG,BEAGLE/JACK RUSS,4,M,true,Brooklyn,11224
134,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,true,Brooklyn,11218
135,April 22 2015,DOG,Maltese,7,F,true,Brooklyn,11237
136,April 23 2015,DOG,Cane Corso,15,F,false,Brooklyn,11238
137,April 23 2015,DOG,PARSON RUSSELLTERR,2,M,true,Brooklyn,11231
138,April 24 2015,DOG,"Poodle, Standard",,U,false,Brooklyn,11221
139,April 25 2015,DOG,Shih Tzu,5,M,true,Brooklyn,11219
140,April 26 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11212
141,April 25 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11221
142,April 25 2015,DOG,American Pit Bull Terrier/Pit Bull,3,M,false,Brooklyn,11221
185,May 09 2015,DOG,Siberian Husky,,U,false,Brooklyn,
143,April 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,false,Brooklyn,11218
144,April 20 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11218
145,April 25 2015,DOG,UNKNOWN,,U,false,Brooklyn,11201
146,April 25 2015,DOG,German Shepherd,7,M,true,Brooklyn,11234
147,April 11 2015,DOG,American Pit Bull Terrier/Pit Bull,3,F,true,Brooklyn,11220
148,April 29 2015,DOG,Pug,3,M,true,Brooklyn,11223
149,April 29 2015,DOG,POINTER/BEAGLE X,7,F,false,Brooklyn,11249
150,April 29 2015,DOG,SHIBA INU,5,M,true,Brooklyn,11221
151,April 26 2015,DOG,Chihuahua,2,F,false,Brooklyn,11220
152,April 30 2015,DOG,GERMAN SHEPHERD/RIDGEBACK,5,M,true,Brooklyn,11231
153,May 01 2015,DOG,Bichon Frise,8,M,true,Brooklyn,11223
154,May 01 2015,DOG,STAFFORDSHIRE TERR,7,F,true,Brooklyn,11221
155,April 19 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11223
156,May 02 2015,DOG,Chihuahua Crossbreed,,U,false,Brooklyn,11214
157,May 02 2015,DOG,"Collie, Border",14,M,true,Brooklyn,11234
158,May 04 2015,DOG,American Pit Bull Mix / Pit Bull Mix,8M,M,false,Brooklyn,11204
159,May 04 2015,DOG,Belgian Malinois,,U,false,Brooklyn,11213
160,May 01 2015,DOG,Boxer,2,M,true,Brooklyn,11237
161,May 01 2015,DOG,MALTESE - X,3,F,false,Brooklyn,11209
162,May 05 2015,DOG,German Shepherd,,U,false,Brooklyn,11220
163,May 01 2015,DOG,Pit Bull,,U,false,Brooklyn,
164,May 06 2015,DOG,"Collie, Smooth Coat",10,F,true,Brooklyn,11220
165,May 06 2015,DOG,CHIHUAHUA/BOSTON TERR X,5,M,true,Brooklyn,11222
166,April 08 2015,DOG,HUSKY/CATTLE DOG MIX,4,M,true,Brooklyn,
167,April 08 2015,DOG,HUSKY/CATTLE MIX,4,M,true,Brooklyn,
168,May 10 2015,DOG,American Pit Bull Terrier/Pit Bull,13,M,true,Brooklyn,11234
169,May 10 2015,DOG,American Staffordshire Terrier,2,M,false,Brooklyn,11228
170,May 09 2015,DOG,Siberian Husky,14,M,true,Brooklyn,11231
171,May 09 2015,DOG,American Pit Bull Mix / Pit Bull Mix,5,F,true,Brooklyn,11208
172,May 01 2015,DOG,American Staffordshire Terrier,8,M,true,Brooklyn,11217
173,May 03 2015,DOG,American Pit Bull Terrier/Pit Bull,,F,false,Brooklyn,11231
174,May 07 2015,DOG,Australian Shepherd,5,M,true,Brooklyn,11238
175,May 09 2015,DOG,American Pit Bull Terrier/Pit Bull,8,M,true,Brooklyn,11219
176,May 11 2015,DOG,American Pit Bull Terrier/Pit Bull,2,F,false,Brooklyn,11218
177,April 25 2015,DOG,Shih Tzu,4,M,true,Brooklyn,11226
178,May 03 2015,DOG,Pit Bull,,U,false,Brooklyn,11235
