,id,breed,intake_type,intake_subtype,date_in,condition,outcome,outcome_sub,date_out
380,A1096966,ST BERNARD RGH,STRAY,AT LARGE,1582675200.0,APP WNL,RETURNED TO OWNER,FIELD,1582675200.0
381,A1091949,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,1577491200.0,APP INJ,TRANSFER,GENERAL,1577664000.0
382,A1085540,DOMESTIC SH,FOSTER,SURGERY,1579824000.0,APP WNL,ADOPTION,BY FOSTER,1579824000.0
383,A1089112,PIT BULL,STRAY,AT LARGE,1574380800.0,APP WNL,TRANSFER,MEDICAL-CONTAGIOUS,1576713600.0
384,A1090181,DOMESTIC SH,STRAY,AT LARGE,1575590400.0,APP WNL,ADOPTION,WALK IN,1576540800.0
385,A1092695,BEAGLE,OWNER SURRENDER,GENERAL,1578787200.0,APP WNL,ADOPTION,WALK IN,1578787200.0
386,A1091137,DOMESTIC SH,STRAY,AT LARGE,1576540800.0,UNDERAGE,FOSTER,UNDERAGE,1576540800.0
387,A1088702,CHIHUAHUA SH,STRAY,WEB,1573862400.0,NORMAL,LOST EXP,OTHER,1576627200.0
388,A1090806,PIT BULL,STRAY,AT LARGE,1576195200.0,UNKNOWN,ADOPTION,WALK IN,1576713600.0
389,A0991045,LABRADOR RETR,OWNER SURRENDER,GENERAL,1576022400.0,APP WNL,ADOPTION,WALK IN,1576627200.0
390,A1094317,ITAL GREYHOUND,STRAY,WEB,1579824000.0,NORMAL,LOST EXP,OTHER,1582675200.0
391,A1090937,PIT BULL,TREATMENT,HEART WORM,1579737600.0,APP WNL,TREATMENT,COMPLETED,1579737600.0
392,A1091159,PIT BULL,OWNER SURRENDER,GENERAL,1576627200.0,APP WNL,ADOPTION,WALK IN,1576713600.0
393,A1090994,COLLIE SMOOTH,STRAY,CONFINED,1576368000.0,APP WNL,ADOPTION,WALK IN,1576713600.0
