,id,breed,intake_type,intake_subtype,date_in,condition,outcome,outcome_sub,date_out
10386,A1100744,GERM SHEPHERD,CONFISCATED,QUARANTINE,1589414400.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1589587200.0
10387,A1095857,GERM SHEPHERD,STRAY,AT LARGE,1581465600.0,APP WNL,EUTHANIZED,BEHAVIOR,1582070400.0
10388,A1099970,POMERANIAN,STRAY,WEB,1586908800.0,NORMAL,LOST EXP,OTHER,1589587200.0
10389,A1101313,SQUIRREL,WILDLIFE,NON-RABIES,1589587200.0,CRITICAL,EUTHANIZED,HUMANE,1589587200.0
10390,A1020975,ROTTWEILER,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10391,A1095373,GERM SHEPHERD,STRAY,AT LARGE,1580947200.0,APP WNL,FOSTER,GENERAL,1582156800.0
10392,A1099606,DOMESTIC SH,FOSTER,RETURN,1589587200.0,APP WNL,ADOPTION,BY FOSTER,1589587200.0
10393,A1095377,GERM SHEPHERD,STRAY,AT LARGE,1580947200.0,APP WNL,FOSTER,UNDERAGE,1582156800.0
10394,A1107495,PIT BULL,CONFISCATED,QUARANTINE,1600214400.0,APP WNL,EUTHANIZED,BITE,1601510400.0
10395,A0938429,GERM SHEPHERD,STRAY,CONFINED,1592956800.0,APP WNL,RETURNED TO OWNER,FIELD,1592956800.0
10396,A1093783,MALTESE,STRAY,WEB,1579392000.0,NORMAL,LOST EXP,OTHER,1582156800.0
10397,A1096462,MALTESE,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10398,A1096475,GERM SHEPHERD,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10399,A1093797,PIT BULL,STRAY,WEB,1579219200.0,NORMAL,LOST EXP,OTHER,1582156800.0
10400,A1096469,CHIHUAHUA SH,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10401,A1091964,GERM SHEPHERD,OWNER SURRENDER,GENERAL,1583366400.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10402,A1078604,LABRADOR RETR,OWNER SURRENDER,GENERAL,1581206400.0,APP WNL,ADOPTION,EAC,1582156800.0
10403,A1097407,PIT BULL,STRAY,AT LARGE,1583107200.0,UNKNOWN,RETURNED TO OWNER,MICROCHIP,1583452800.0
10404,A1094579,DOMESTIC SH,TRANSFER,SURGERY,1582156800.0,APP WNL,TRANSFER,SURGERY,1582156800.0
10405,A1088971,PIT BULL,TREATMENT,HEART WORM,1582156800.0,APP WNL,TREATMENT,COMPLETED,1582156800.0
10406,A1073730,RAT TERRIER,FOSTER,RETURN,1596672000.0,APP WNL,TRANSFER,TRANSPORT,1596672000.0
10407,A1098976,PIT BULL,OWNER SURRENDER,FIELD,1584748800.0,APP INJ,EUTHANIZED,HUMANE,1585180800.0
10408,A1094782,PIT BULL,STRAY,CONFINED,1580342400.0,APP WNL,EUTHANIZED,BEHAVIOR,1582156800.0
10409,A1099223,OPOSSUM,WILDLIFE,NON-RABIES,1585180800.0,APP WNL,WILDLIFE,RELEASE,1585180800.0
10410,A1094987,PIT BULL,FOSTER,RETURN,1585094400.0,APP WNL,FOSTER,SHORT TERM,1585180800.0
10411,A1096442,PIT BULL,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,WALK IN,1582156800.0
10412,A1105497,DOMESTIC SH,STRAY,AT LARGE,1596585600.0,APP WNL,TRANSFER,UNDERAGE,1596758400.0
10413,A1096408,LABRADOR RETR,STRAY,AT LARGE,1582070400.0,UNDERAGE,FOSTER,UNDERAGE,1582070400.0
10414,A1096327,LABRADOR RETR,STRAY,CONFINED,1581984000.0,APP WNL,ADOPTION,WALK IN,1582156800.0
10415,A1097763,PIT BULL,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10416,A1093836,LABRADOR RETR,STRAY,WEB,1579392000.0,NORMAL,LOST EXP,OTHER,1582156800.0
10417,A1099474,DOMESTIC SH,STRAY,CONFINED,1585872000.0,APP WNL,TRANSFER,UNDERAGE,1585958400.0
10418,A1096403,LABRADOR RETR,STRAY,AT LARGE,1582070400.0,UNDERAGE,FOSTER,UNDERAGE,1582070400.0
10419,A0955836,LABRADOR RETR,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10420,A1096409,LABRADOR RETR,STRAY,AT LARGE,1582070400.0,UNDERAGE,FOSTER,UNDERAGE,1582070400.0
10421,A1093845,PIT BULL,STRAY,WEB,1579132800.0,NORMAL,LOST EXP,OTHER,1582156800.0
10422,A1096480,CHIHUAHUA SH,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10423,A1092444,BULL TERRIER,TREATMENT,HEART WORM,1582156800.0,APP WNL,TREATMENT,COMPLETED,1582156800.0
10424,A1089902,PIT BULL,STRAY,CONFINED,1582070400.0,APP WNL,RETURNED TO OWNER,WALK IN,1582156800.0
10425,A1097551,DOMESTIC SH,STRAY,AT LARGE,1583280000.0,APP WNL,FOSTER,UNDERAGE,1583280000.0
10426,A1095380,GERM SHEPHERD,STRAY,AT LARGE,1580947200.0,APP WNL,FOSTER,UNDERAGE,1582156800.0
10427,A0528448,CHIHUAHUA SH,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10428,A1092288,DOMESTIC SH,STRAY,AT LARGE,1577923200.0,UNDERAGE,TRANSFER,MEDICAL-CONTAGIOUS,1578009600.0
10429,A1099010,LABRADOR RETR,STRAY,AT LARGE,1584835200.0,APP WNL,ADOPTION,WESTMORELD,1585180800.0
10430,A1096047,GERM SHEPHERD,STRAY,AT LARGE,1581724800.0,APP INJ,TRANSFER,MEDICAL-CONTAGIOUS,1582156800.0
10431,A1089056,PIT BULL,FOSTER,RETURN,1582156800.0,APP WNL,ADOPTION,BY FOSTER,1582156800.0
10432,A1087456,BELG MALINOIS,STRAY,AT LARGE,1581638400.0,APP WNL,TRANSFER,TRANSPORT,1582156800.0
10433,A1094741,DOMESTIC SH,STRAY,CONFINED,1580342400.0,APP INJ,FOSTER,TREATMENT,1581897600.0
10434,A1092012,LABRADOR RETR,TREATMENT,HEART WORM,1582156800.0,APP WNL,TREATMENT,COMPLETED,1582156800.0
10435,A1090044,PIT BULL,FOSTER,TREATMENT,1582848000.0,APP WNL,ADOPTION,BY FOSTER,1583452800.0
10436,A1095290,PIT BULL,STRAY,AT LARGE,1592956800.0,APP WNL,RETURNED TO OWNER,FIELD,1592956800.0
10437,A1099012,GERM SHEPHERD,STRAY,AT LARGE,1584835200.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1585180800.0
10438,A1093317,BORDER COLLIE,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,FIELD,1582156800.0
10439,A1097770,PIT BULL,CONFISCATED,EVICTION,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10440,A1099011,ALASKAN HUSKY,STRAY,AT LARGE,1584835200.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1585180800.0
10441,A1049655,GOLDEN RETR,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10442,A1097728,PIT BULL,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10443,A1099225,MIN PINSCHER,OWNER SURRENDER,GENERAL,1585180800.0,APP SICK,EUTHANIZED,HUMANE,1585180800.0
10444,A1099208,OPOSSUM,WILDLIFE,NON-RABIES,1585180800.0,APP WNL,WILDLIFE,RELEASE,1585180800.0
10445,A1099928,GERM SHEPHERD,STRAY,WEB,1586822400.0,NORMAL,FOUND EXP,OTHER,1589587200.0
10446,A1097212,PIT BULL,OWNER SURRENDER,ALUMNI,1585008000.0,APP WNL,FOSTER,SHORT TERM,1585180800.0
10447,A1099187,DOMESTIC SH,FOSTER,RETURN,1585180800.0,APP WNL,TRANSFER,UNDERAGE,1585180800.0
10448,A1093450,PIT BULL,CONFISCATED,QUARANTINE,1581206400.0,APP WNL,RETURNED TO OWNER,WALK IN,1582156800.0
10449,A1097147,COLLIE SMOOTH,STRAY,AT LARGE,1582848000.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10450,A1105500,DOMESTIC SH,STRAY,CONFINED,1596585600.0,APP INJ,TRANSFER,UNDERAGE,1596758400.0
10451,A1099936,DOMESTIC SH,STRAY,WEB,1586736000.0,NORMAL,LOST EXP,OTHER,1589587200.0
10452,A1097398,POODLE MIN,STRAY,AT LARGE,1583107200.0,UNKNOWN,ADOPTION,WALK IN,1583452800.0
10453,A1108037,PIT BULL,STRAY,CONFINED,1601164800.0,APP WNL,EUTHANIZED,BEHAVIOR,1601510400.0
10454,A1095678,PIT BULL,STRAY,AT LARGE,1581292800.0,UNKNOWN,ADOPTION,WALK IN,1582156800.0
10455,A1102789,DOMESTIC SH,FOSTER,FOR ADOPT,1596758400.0,APP WNL,ADOPTION,IN FOSTER,1596758400.0
10456,A1097820,GERM SHEPHERD,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10457,A1042019,CHIHUAHUA SH,OWNER SURRENDER,ALUMNI,1585094400.0,APP WNL,TRANSFER,TRANSPORT,1585180800.0
10458,A1099188,DOMESTIC SH,FOSTER,RETURN,1585180800.0,APP WNL,TRANSFER,UNDERAGE,1585180800.0
10459,A1099117,CHIHUAHUA SH,OWNER SURRENDER,FIELD,1585008000.0,APP WNL,ADOPTION,TELEADOPT,1585180800.0
10460,A1099942,CHIHUAHUA SH,STRAY,WEB,1586304000.0,NORMAL,FOUND EXP,OTHER,1589587200.0
10461,A1101315,BLUEBIRD,STRAY,AT LARGE,1589587200.0,UNDERAGE,TRANSFER,UNDERAGE,1589587200.0
10462,A1103307,PIT BULL,STRAY,AT LARGE,1592784000.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1592956800.0
10463,A1091908,LABRADOR RETR,OWNER SURRENDER,APPOINT,1589328000.0,APP WNL,ADOPTION,TELEADOPT,1589587200.0
10464,A1099186,DOMESTIC SH,FOSTER,RETURN,1585180800.0,APP WNL,TRANSFER,UNDERAGE,1585180800.0
10465,A1099960,DOMESTIC SH,STRAY,WEB,1586822400.0,NORMAL,LOST EXP,OTHER,1589587200.0
10466,A1097609,CHIHUAHUA LH,OWNER SURRENDER,GENERAL,1583280000.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10467,A1097733,PAPILLON,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10468,A1101739,PIT BULL,STRAY,WEB,1590278400.0,NORMAL,LOST EXP,OTHER,1592956800.0
10469,A1097640,PIT BULL,STRAY,AT LARGE,1583366400.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10470,A1104924,DOMESTIC SH,TREATMENT,SPAY/NEUT,1601424000.0,APP WNL,TREATMENT,COMPLETED,1601510400.0
10471,A1096579,DOMESTIC SH,STRAY,CONFINED,1582243200.0,UNDERAGE,TRANSFER,UNDERAGE,1582243200.0
10472,A1095249,DOMESTIC SH,STRAY,WEB,1580601600.0,NORMAL,LOST EXP,OTHER,1583452800.0
10473,A1096308,BOXER,TREATMENT,ILLNESS,1587600000.0,APP WNL,TREATMENT,COMPLETED,1587600000.0
10474,A1097738,PIT BULL,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10475,A1073038,GERM SHEPHERD,STRAY,GENERAL,1583452800.0,UNKNOWN,RETURNED TO OWNER,FIELD,1583452800.0
10476,A1097761,PIT BULL,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10477,A1097760,PIT BULL,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10478,A1092733,GERM SHEPHERD,OWNER SURRENDER,GENERAL,1578355200.0,APP WNL,TRANSFER,GENERAL,1582243200.0
10479,A1098711,DOMESTIC SH,FOSTER,RETURN,1585180800.0,DECEASED,DIED,IN FOSTER,1585180800.0
10480,A1081091,POINTER,FOSTER,RETURN,1581724800.0,APP WNL,TRANSFER,TRANSPORT,1581724800.0
10481,A1101252,DOMESTIC SH,FOSTER,RETURN,1592956800.0,APP WNL,ADOPTION,IN FOSTER,1592956800.0
10482,A1094361,PIT BULL,FOSTER,TREATMENT,1585180800.0,APP WNL,FOSTER,TREATMENT,1585180800.0
10483,A1088432,LABRADOR RETR,OWNER SURRENDER,GENERAL,1581984000.0,APP WNL,ADOPTION,EAC,1582243200.0
10484,A1098999,CHIHUAHUA SH,STRAY,AT LARGE,1584835200.0,APP WNL,ADOPTION,WESTMORELD,1585180800.0
10485,A1096550,CAIRN TERRIER,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10486,A1097639,PIT BULL,STRAY,AT LARGE,1583366400.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10487,A1099607,DOMESTIC SH,FOSTER,RETURN,1586736000.0,APP WNL,FOSTER,UNDERAGE,1586736000.0
10488,A0672359,PIT BULL,STRAY,CONFINED,1582329600.0,APP INJ,RETURNED TO OWNER,FIELD,1582329600.0
10489,A1097203,PARSON RUSS TER,STRAY,AT LARGE,1582934400.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10490,A0877275,PIT BULL,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10491,A1093441,PIT BULL,STRAY,AT LARGE,1579046400.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10492,A1095634,LABRADOR RETR,OWNER SURRENDER,GENERAL,1581292800.0,APP WNL,TRANSFER,TRANSPORT,1582243200.0
10493,A1096703,DOMESTIC SH,STRAY,AT LARGE,1582416000.0,APP INJ,FOSTER,TREATMENT,1583452800.0
10494,A1096547,DOMESTIC SH,STRAY,CONFINED,1582243200.0,APP INJ,EUTHANIZED,HUMANE,1582243200.0
10495,A1099149,BORDER COLLIE,CONFISCATED,KEEP SAFE,1585008000.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1585180800.0
10496,A1096552,AUST CATTLE DOG,STRAY,AT LARGE,1582243200.0,UNDERAGE,FOSTER,UNDERAGE,1582243200.0
10497,A1096818,SIBERIAN HUSKY,STRAY,WEB,1582502400.0,NORMAL,LOST EXP,OTHER,1585180800.0
10498,A1101314,DOMESTIC SH,FOSTER,RETURN,1592956800.0,APP WNL,ADOPTION,BY FOSTER,1592956800.0
10499,A1096914,AUST CATTLE DOG,OWNER SURRENDER,QUARANTINE,1582588800.0,UNKNOWN,RETURNED TO OWNER,WALK IN,1583452800.0
10500,A1100926,PIT BULL,FOSTER,RETURN,1589587200.0,APP SICK,TRANSFER,GENERAL,1589587200.0
10501,A1101232,DOMESTIC SH,OWNER SURRENDER,OTC,1589500800.0,CRITICAL,TRANSFER,INV,1589500800.0
10502,A1099961,PIT BULL,STRAY,WEB,1586217600.0,NORMAL,LOST EXP,OTHER,1589587200.0
10503,A1097765,PIT BULL,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10504,A1096262,PIT BULL,STRAY,AT LARGE,1581897600.0,APP WNL,ADOPTION,EAC,1583452800.0
10505,A1096436,LABRADOR RETR,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,WALK IN,1582243200.0
10506,A1096252,DOMESTIC SH,STRAY,AT LARGE,1581897600.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10507,A1100981,GERM SHEPHERD,FOSTER,RETURN,1589328000.0,APP WNL,ADOPTION,TELEADOPT,1589587200.0
10508,A1075531,GERM SHEPHERD,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10509,A1096587,CHIHUAHUA SH,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10510,A1103287,SCHNAUZER MIN,STRAY,AT LARGE,1592784000.0,UNKNOWN,ADOPTION,ADOPETS,1592956800.0
10511,A1093176,PIT BULL,OWNER SURRENDER,GENERAL,1578787200.0,APP WNL,TRANSFER,GENERAL,1583452800.0
10512,A1107517,DOMESTIC SH,TREATMENT,ILLNESS,1601078400.0,APP SICK,TREATMENT,COMPLETED,1601078400.0
10513,A1099218,RACCOON,WILDLIFE,RABIES,1585180800.0,CRITICAL,EUTHANIZED,HUMANE,1585180800.0
10514,A1101127,LABRADOR RETR,STRAY,AT LARGE,1589241600.0,APP WNL,ADOPTION,TELEADOPT,1589587200.0
10515,A1097778,CAIRN TERRIER,STRAY,AT LARGE,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10516,A0877274,PIT BULL,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10517,A1014488,CHIHUAHUA SH,STRAY,AT LARGE,1592697600.0,APP INJ,RETURNED TO OWNER,WESTMORELD,1592956800.0
10518,A1100727,PIT BULL,CONFISCATED,QUARANTINE,1588636800.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1589587200.0
10519,A1102790,DOMESTIC SH,FOSTER,FOR ADOPT,1596758400.0,APP WNL,ADOPTION,IN FOSTER,1596758400.0
10520,A1086709,LABRADOR RETR,TRANSFER,OTHER,1581724800.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10521,A1101298,DUCK,WILDLIFE,NON-RABIES,1589587200.0,APP INJ,WILDLIFE,TRANSFER,1589587200.0
10522,A1096175,PIT BULL,STRAY,AT LARGE,1581811200.0,APP SICK,TRANSFER,MEDICAL-CONTAGIOUS,1582243200.0
10523,A1102969,DOMESTIC SH,STRAY,CONFINED,1592179200.0,APP SICK,FOSTER,UNDERAGE,1592870400.0
10524,A1099767,DOMESTIC SH,FOSTER,RETURN,1589587200.0,APP WNL,ADOPTION,IN FOSTER,1589587200.0
10525,A1043676,GERM SHEPHERD,STRAY,CONFINED,1592870400.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1592956800.0
10526,A1095828,DOMESTIC SH,OWNER SURRENDER,GENERAL,1581465600.0,APP WNL,TRANSFER,MEDICAL-CONTAGIOUS,1582243200.0
10527,A1108162,DOMESTIC SH,STRAY,CONFINED,1601337600.0,UNDERAGE,EUTHANIZED,HUMANE,1601510400.0
10528,A1010274,CHIHUAHUA SH,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,WALK IN,1582243200.0
10529,A1096165,GERM SHEPHERD,STRAY,AT LARGE,1581811200.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10530,A1104979,PIT BULL,STRAY,AT LARGE,1595635200.0,APP WNL,ADOPTION,ADOPETS,1596758400.0
10531,A1097386,CHIHUAHUA SH,STRAY,AT LARGE,1583107200.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10532,A1104735,DOMESTIC SH,STRAY,AT LARGE,1595203200.0,APP WNL,FOSTER,UNDERAGE,1595203200.0
10533,A1100349,DOMESTIC SH,FOSTER,RETURN,1589587200.0,APP WNL,ADOPTION,IN FOSTER,1589587200.0
10534,A1096096,DOMESTIC SH,STRAY,CONFINED,1581724800.0,APP WNL,FOSTER,UNDERAGE,1581811200.0
10535,A1099573,DOMESTIC SH,TREATMENT,SPAY/NEUT,1589587200.0,APP WNL,TREATMENT,COMPLETED,1589587200.0
10536,A1095255,CHIHUAHUA SH,STRAY,WEB,1580601600.0,NORMAL,LOST EXP,OTHER,1583452800.0
10537,A1093036,PIT BULL,OWNER SURRENDER,RETURN30,1579996800.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10538,A1097607,CHIHUAHUA SH,OWNER SURRENDER,GENERAL,1583280000.0,APP WNL,TRANSFER,GENERAL,1583452800.0
10539,A1087957,LABRADOR RETR,STRAY,AT LARGE,1585267200.0,APP WNL,RETURNED TO OWNER,FIELD,1585267200.0
10540,A1096308,BOXER,OWNER SURRENDER,GENERAL,1581984000.0,APP WNL,FOSTER,SHORT TERM,1584748800.0
10541,A1096604,LABRADOR RETR,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10542,A1097673,TOY FOX TERRIER,OWNER SURRENDER,GENERAL,1583366400.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10543,A1097380,AUST CATTLE DOG,STRAY,AT LARGE,1583107200.0,APP WNL,TRANSFER,TRANSPORT,1583452800.0
10544,A1073387,LABRADOR RETR,OWNER SURRENDER,GENERAL,1581984000.0,APP WNL,ADOPTION,WALK IN,1582156800.0
10545,A1099226,GOLDEN RETR,STRAY,CONFINED,1585180800.0,APP WNL,RETURNED TO OWNER,WESTMORELD,1585267200.0
10546,A1107806,DOMESTIC SH,STRAY,AT LARGE,1600732800.0,APP WNL,FOSTER,UNDERAGE,1601164800.0
10547,A1098708,DOMESTIC SH,TREATMENT,SPAY/NEUT,1589500800.0,APP WNL,TREATMENT,COMPLETED,1589587200.0
10548,A1096616,CHIHUAHUA SH,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10549,A1096840,LABRADOR RETR,STRAY,WEB,1581292800.0,NORMAL,LOST EXP,OTHER,1585267200.0
10550,A1096490,CHIHUAHUA SH,STRAY,AT LARGE,1582156800.0,APP WNL,RETURNED TO OWNER,WALK IN,1582243200.0
10551,A1100764,DOMESTIC SH,TREATMENT,SPAY/NEUT,1589587200.0,APP WNL,TREATMENT,COMPLETED,1589587200.0
10552,A1097433,PIT BULL,TRANSFER,TREATMENT,1584748800.0,APP WNL,FOSTER,TREATMENT,1584748800.0
10553,A1099199,PIT BULL,STRAY,AT LARGE,1585094400.0,APP SICK,ADOPTION,TELEADOPT,1585267200.0
10554,A1096368,PIT BULL,OWNER SURRENDER,GENERAL,1582070400.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10555,A1086177,LABRADOR RETR,STRAY,AT LARGE,1571616000.0,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,WALK IN,1572393600.0
10556,A1096383,GERM SHEPHERD,STRAY,AT LARGE,1582070400.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10558,A1093772,PIT BULL,OWNER SURRENDER,RETURN30,1580428800.0,APP WNL,TRANSFER,GENERAL,1582243200.0
10559,A1097726,ALASKAN HUSKY,OWNER SURRENDER,GENERAL,1583452800.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10560,A1093918,LABRADOR RETR,STRAY,WEB,1579564800.0,NORMAL,LOST EXP,OTHER,1582243200.0
10562,A1095924,PIT BULL,STRAY,AT LARGE,1581552000.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10563,A1096602,GERM SHEPHERD,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10564,A1017225,GERM SHEPHERD,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10565,A1098778,AMER BULLDOG,STRAY,CONFINED,1584403200.0,UNKNOWN,ADOPTION,WESTMORELD,1585267200.0
10566,A1069322,LABRADOR RETR,OWNER SURRENDER,QUARANTINE,1581811200.0,APP WNL,EUTHANIZED,BITE,1582156800.0
10567,A1088293,PIT BULL,OWNER SURRENDER,GENERAL,1583193600.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10568,A1104111,DOMESTIC SH,STRAY,AT LARGE,1594080000.0,APP WNL,FOSTER,UNDERAGE,1594166400.0
10569,A1099234,GERM SHEPHERD,OWNER SURRENDER,GENERAL,1585267200.0,APP INJ,TRANSFER,MEDICAL,1585267200.0
10570,A1092174,PIT BULL,OWNER SURRENDER,GENERAL,1577750400.0,APP WNL,TRANSFER,TRANSPORT,1582243200.0
10571,A1103404,BOXER,STRAY,CONFINED,1592956800.0,APP WNL,RETURNED TO OWNER,FIELD,1592956800.0
10572,A1059829,CHIHUAHUA SH,STRAY,FIELD,1589587200.0,APP WNL,RETURNED TO OWNER,FIELD,1589673600.0
10573,A1101234,DOMESTIC SH,STRAY,CONFINED,1589500800.0,UNDERAGE,TRANSFER,UNDERAGE,1589587200.0
10574,A1097746,POODLE MIN,OWNER SURRENDER,GENERAL,1583452800.0,APP WNL,EUTHANIZED,HUMANE,1583452800.0
10575,A1098820,GERM SHEPHERD,STRAY,CONFINED,1584489600.0,APP INJ,ADOPTION,TELEADOPT,1585267200.0
10576,A1097212,PIT BULL,FOSTER,TREATMENT,1585267200.0,APP WNL,FOSTER,TREATMENT,1585267200.0
10577,A1096367,PIT BULL,OWNER SURRENDER,GENERAL,1582070400.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10578,A1096079,DOMESTIC SH,STRAY,AT LARGE,1581724800.0,APP INJ,TRANSFER,MEDICAL-CONTAGIOUS,1582243200.0
10579,A1096530,SCHNAUZER MIN,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10580,A1097771,ROTTWEILER,CONFISCATED,EVICTION,1583452800.0,APP WNL,RETURNED TO OWNER,FIELD,1583452800.0
10581,A1097653,DOMESTIC MH,CONFISCATED,CRUELTY,1583366400.0,UNKNOWN,TRANSFER,INV,1583452800.0
10582,A1097411,YORKSHIRE TERR,STRAY,AT LARGE,1583107200.0,APP WNL,ADOPTION,WALK IN,1583452800.0
10583,A1098709,DOMESTIC SH,TREATMENT,SPAY/NEUT,1589500800.0,APP WNL,TREATMENT,COMPLETED,1589587200.0
10584,A1096366,PIT BULL,OWNER SURRENDER,GENERAL,1582070400.0,APP WNL,ADOPTION,WALK IN,1582243200.0
10585,A1096496,GERM SHEPHERD,STRAY,AT LARGE,1582156800.0,APP WNL,TRANSFER,UNDERAGE,1582243200.0
10586,A1096549,GERM SHEPHERD,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10587,A0752089,PIT BULL,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10588,A1098742,GERM SHEPHERD,OWNER SURRENDER,QUARANTINE,1584921600.0,APP WNL,EUTHANIZED,BITE,1585267200.0
10589,A1096551,AUST CATTLE DOG,STRAY,AT LARGE,1582243200.0,UNDERAGE,FOSTER,UNDERAGE,1582243200.0
10590,A1099239,ALASKAN HUSKY,OWNER SURRENDER,GENERAL,1585267200.0,UNKNOWN,EUTHANIZED,HUMANE,1585267200.0
10591,A1099767,DOMESTIC SH,STRAY,CONFINED,1586476800.0,APP WNL,FOSTER,UNDERAGE,1586563200.0
10592,A1096601,CHIHUAHUA SH,STRAY,AT LARGE,1582243200.0,APP WNL,RETURNED TO OWNER,FIELD,1582243200.0
10593,A1096839,ROTTWEILER,STRAY,WEB,1582156800.0,NORMAL,LOST EXP,OTHER,1585267200.0
10594,A1094253,DOMESTIC SH,FOSTER,RETURN,1581033600.0,APP SICK,FOSTER,TREATMENT,1581033600.0
10595,A1085956,STAFFORDSHIRE,STRAY,AT LARGE,1581292800.0,UNKNOWN,ADOPTION,WALK IN,1583452800.0
10596,A1097796,ALASKAN HUSKY,STRAY,QUARANTINE,1583452800.0,APP WNL,EUTHANIZED,BEHAVIOR,1585267200.0
10598,A1101498,DOMESTIC SH,STRAY,CONFINED,1589932800.0,UNKNOWN,FOSTER,UNDERAGE,1589932800.0
10599,A1098660,DOMESTIC SH,STRAY,CONFINED,1584230400.0,UNDERAGE,FOSTER,UNDERAGE,1584316800.0
10600,A1108161,DOMESTIC SH,STRAY,CONFINED,1601337600.0,UNDERAGE,EUTHANIZED,MEDICAL-CONTAGIOUS,1601424000.0
