id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
47239,1/27/17 0:00,Abandoned,0,D17011254,9.8102E+14,Maria,,Brown and Black,Dog,1 year 10 months.,Female,Foster,4/1/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47248,1/27/17 0:00,Abandoned,0,C17011263,9.8102E+14,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,2/15/17 0:00,Foster,0,6/2/17 0:00,Stray,,Died in care,0,0,0
47248,1/27/17 0:00,Abandoned,0,C17011263,9.8102E+14,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,6/2/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47277,1/31/17 0:00,Abandoned,0,C17011292,9.8102E+14,Coraline,Domestic Short Hair,Brown and Black,Cat,3 years 10 months.,Female,Adoptable Cat Glass Colony,4/5/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47290,2/1/17 0:00,Abandoned,0,C17021304,9.8102E+14,Montana,Domestic Short Hair,Torbie,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,3/29/17 0:00,Foster,0,4/27/17 0:00,Stray,,Died in care,0,0,0
47290,2/1/17 0:00,Abandoned,0,C17021304,9.8102E+14,Montana,Domestic Short Hair,Torbie,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,6/22/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47319,2/5/17 0:00,Rabies Monitoring,0,D17021329,,Louise Vada,Pitbull,Black,Dog,3 years 2 months.,Female,Stray Dogs Theta,4/5/17 0:00,Reclaimed,0,,Stray,,Died in care,0,0,0
47360,2/11/17 0:00,Abandoned,0,C17021370,9.8102E+14,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,3/7/17 0:00,Foster,0,4/22/17 0:00,Stray,6/13/17 0:00,"UU - untreatable, unmanageable",0,1,0
47360,2/11/17 0:00,Abandoned,0,C17021370,9.8102E+14,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,4/25/17 0:00,Foster,0,6/11/17 0:00,Stray,6/13/17 0:00,"UU - untreatable, unmanageable",0,1,0
47360,2/11/17 0:00,Abandoned,0,C17021370,9.8102E+14,Calli,DSH/Unknown,Various,Cat,16 years 3 months.,Female,Office,6/12/17 0:00,Foster,0,6/13/17 0:00,Stray,6/13/17 0:00,"UU - untreatable, unmanageable",0,1,0
47395,2/13/17 0:00,Abandoned,0,C17021405,9.8102E+14,Gooseberry,Domestic Short Hair,Tortie,Cat,13 years 9 months.,Female,Adoptable Cat Big Colony,4/11/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47402,2/14/17 0:00,Abandoned,0,D17021412,9.8102E+14,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,3/21/17 0:00,Foster,0,4/9/17 0:00,Stray,,Died in care,0,0,0
47402,2/14/17 0:00,Abandoned,0,D17021412,9.8102E+14,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,4/10/17 0:00,Foster,0,5/3/17 0:00,Stray,,Died in care,0,0,0
47402,2/14/17 0:00,Abandoned,0,D17021412,9.8102E+14,Precious,Shep Mix/Mix,Ruddy,Dog,4 years 9 months.,Female,Adoptable Dogs,5/5/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47414,2/16/17 0:00,Abandoned,0,D17021424,9.8102E+14,Beemo,Pitbull/Mix,Blue,Dog,6 years 10 months.,Male,Stray Dogs Beta,4/15/17 0:00,Adoption,0,7/12/17 0:00,Rabies Monitoring,,Died in care,0,0,0
47414,2/16/17 0:00,Abandoned,0,D17021424,9.8102E+14,Beemo,Pitbull/Mix,Blue,Dog,6 years 10 months.,Male,Stray Dogs Beta,7/22/17 0:00,Reclaimed,0,8/22/17 0:00,Rabies Monitoring,,Died in care,0,0,0
47414,2/16/17 0:00,Abandoned,0,D17021424,9.8102E+14,Beemo,Pitbull/Mix,Blue,Dog,6 years 10 months.,Male,Stray Dogs Beta,9/2/17 0:00,Reclaimed,0,,Stray,,Died in care,0,0,0
