name,neighborhood,address,url,latitude,longitude,image,tags,categories
Carmelo’s Tacos – Capitol Hill,Capitol Hill,"110 Summit Ave E Seattle, WA 98102",https://intentionalist.com/b/carmelos-tacos/,47.618855,-122.324915,https://intentionalist.com/wp-content/uploads/2019/08/carmelos-150x150.jpg,"['Family-Owned', 'Latino-Owned', 'Minority-Owned']",['Cafe']
Sal Y Limón,Uptown,"10 Mercer St, Seattle, WA 98109",https://intentionalist.com/b/sal-y-limon/,47.6249992,-122.3564402,https://intentionalist.com/wp-content/uploads/2019/08/29101665_155091838523206_2079921789504323584_o-150x150.jpg,"['Family-Owned', 'Latino-Owned', 'Minority-Owned', 'Woman-Owned']",['Bars']
Footprint Wine Tap,Capitol Hill,"1222 E Madison St, Seattle, WA 98122, USA",https://intentionalist.com/b/footprint-wine-tap/,47.61347869999999,-122.31583790000002,https://intentionalist.com/wp-content/uploads/2019/08/footprint-wine-150x150.jpg,"['Black-Owned', 'LGBTQ-Owned', 'Minority-Owned']",['Bars']
Ada’s Restaurant & Bar,Phinney Ridge,"5910 Phinney Ave N, Seattle, WA 98103",https://intentionalist.com/b/adas-restaurant-bar/,47.672159,-122.354116,https://intentionalist.com/wp-content/uploads/2019/08/adas-150x150.jpg,['Asian-Owned'],['Bars']
Santo Coffee Co.,Roosevelt,"1325 NE 65th St, Seattle, WA 98115",https://intentionalist.com/b/santo-coffee-co/,47.6756723,-122.3134247,https://intentionalist.com/wp-content/uploads/2019/08/santo-coffee-150x150.jpg,"['Family-Owned', 'Latino-Owned', 'Minority-Owned', 'Woman-Owned']","['Coffee, Tea & Juice']"
FOODArt,Uptown,"501 2nd Ave W #100, Seattle, WA 98119",https://intentionalist.com/b/foodart/,47.6234619,-122.3596787,https://intentionalist.com/wp-content/uploads/2019/07/foodart-llc-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Native-Owned', 'Woman-Owned']",['Catering']
Light Owl Healing,Fremont,"4803 Fremont Ave N Seattle, WA 98103",https://intentionalist.com/b/light-owl-healing/,47.6637632,-122.3502661,https://intentionalist.com/wp-content/uploads/2019/07/light-owl-150x150.jpg,"['Latino-Owned', 'Minority-Owned', 'Woman-Owned']",['Health Services']
"Captured by Candace Photography, LLC","Seattle, WA","Seattle, WA, USA",https://intentionalist.com/b/captured-by-candace-photography-llc/,47.6062095,-122.3320708,https://intentionalist.com/wp-content/uploads/2019/05/captured-by-candace-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Photography']
The Sugah Shack,"Seattle, WA","Seattle, WA, USA",https://intentionalist.com/b/the-sugah-shack/,47.6062095,-122.3320708,https://intentionalist.com/wp-content/uploads/2019/05/the-sugah-shack-150x150.jpg,"['Black-Owned', 'Minority-Owned', 'Woman-Owned']",['Catering']
Axtion Club,Belltown,"2602 2nd Ave, Seattle, WA 98121",https://intentionalist.com/b/axtion-club/,47.6161867,-122.3488663,https://intentionalist.com/wp-content/uploads/2019/05/axtion-150x150.jpg,"['Family-Owned', 'Latino-Owned', 'Minority-Owned']",['Gyms & Yoga']
