Year,Winner,Breed,Group,Owner
1943,Ch. Pitter Patter of Piperscroft,Poodle (Miniature),Non-Sporting,Mrs. P. H. B. Frelinghuysen
1944,Ch. Flornell-Rare-Bit of Twin Ponds,Welsh Terrier,Terrier,Mrs. Edward P. Alker
1945,Ch. Shieling's Signature,Scottish Terrier,Terrier,Mr. & Mrs. T. H. Snethen
1946,Ch. Hetherington Model Rhythm,Fox Terrier (Wire),Terrier,Mr. & Mrs. T. H. Carruthers
1947,Ch. Warlord of Mazelaine,Boxer,Working,"Mr. & Mrs. Richard C. Kettles, Jr."
1948,Ch. Rock Ridge Night Rocket,Bedlington Terrier,Terrier,Mr. & Mrs. William A. Rockefeller
1949,Ch. Mazelaine Zazarac Brandy,Boxer,Working,Mr. & Mrs. John Phelps Wagner
1950,Ch. Walsing Winning Trick of Edgerstoune,Scottish Terrier,Terrier,Constance Winant
1951,Ch. Bang Away of Sirrah Crest,Boxer,Working,Dr. & Mrs. R. C. Harris
1952,Ch. Rancho Dobe's Storm,Doberman Pinscher,Working,Mr. & Mrs. Len Carey
1953,Ch. Rancho Dobe's Storm,Doberman Pinscher,Working,Mr. & Mrs. Len Carey
1954,Ch. Carmor's Rise and Shine,Spaniel (Cocker) ASCOB[B],Sporting,Mrs. Carl E. Morgan
1955,Ch. Kippax Fearnought,Bulldog,Non-Sporting,John A. Saylor
1956,Ch. Wilber White Swan,Poodle (Toy),Toy,Bertha Smith
1957,Ch. Shirkhan of Grandeur,Afghan Hound,Hound,"Sunny Shay, Dorothy Chenade"
1958,Ch. Puttencove Promise,Poodle (Standard),Non-Sporting,Mrs. George Puttnam
1959,Ch. Fontclair Festoon,Poodle (Miniature),Non-Sporting,Clarence Dillon
1960,Ch. Chik T'Sun of Caversham,Pekingese,Toy,Mr. & Mrs. C. C. Venable
1961,Ch. Cappoquin Little Sister,Poodle (Toy),Toy,Florence Michelson
1962,Ch. Elfinbrook Simon,West Highland White Terrier,Terrier,Barbara Worcester
1963,Ch. Wakefield's Black Knight,Spaniel (English Springer),Sporting,Mrs. W. J. S. Borie
1964,Ch. Courtenay Fleetfoot of Pennyworth,Whippet,Hound,Peggy Newcombe
1965,Ch. Carmichael's Fanfare,Scottish Terrier,Terrier,Mr. & Mrs. Charles C. Stalter
1966,Ch. Zeloy Mooremaide's Magic,Fox Terrier (Wire),Terrier,Marion G. Bunker
1967,Ch. Bardene Bingo,Scottish Terrier,Terrier,E. H. Stuart
1968,Ch. Stingray of Derryabah,Lakeland Terrier,Terrier,"Mr. & Mrs. James A. Farrell, Jr."
1969,Ch. Glamoor Good News,Skye Terrier,Terrier,"W. Goodman, Mrs. A. Goodman"
1970,Ch. Arriba's Prima Donna,Boxer,Working,"Dr. & Mrs. P. Pagano, Dr. T. Fickes"
1971,Ch. Chinoe's Adamant James,Spaniel (English Springer),Sporting,Milton E. Prickett
