intake_type,condition,age_in,breed,outcome,age_out,sex,intact_out,age,primary_color,secondary_color,breed_1,breed_2,pure,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,time_in_shelter,at_risk,cond,breed_3
stray,normal,15.0,chihuahua,adoption,15.0,0,0,senior,tan,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,12,0,,chihuahua
stray,normal,11.0,australian cattle dog/labrador retriever,adoption,11.0,1,0,senior,brown,brown,australian cattle dog,labrador retriever,0.0,0.95,1.0,4.0,19.0,22.0,45.0,62.5,72,1,,australian cattle dog
stray,normal,10.0,tibetan terrier,adoption,10.0,0,0,senior,cream,black,tibetan terrier,tibetan terrier,1.0,0.3,41.0,80.0,14.0,17.0,20.0,30.0,8,0,,other
surrender,normal,11.0,labrador retriever,adoption,11.0,0,0,senior,red,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,15,0,,labrador retriever
stray,normal,7.0,border collie,adoption,7.0,1,0,adult,brown,white,border collie,border collie,1.0,0.95,1.0,4.0,19.0,21.0,40.0,40.0,11,0,,border collie
surrender,normal,14.0,german shepherd,adoption,14.0,1,0,senior,sable,sable,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,10,0,,german shepherd
surrender,aged,10.0,chihuahua,adoption,10.0,1,0,senior,tan,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,9,0,,chihuahua
surrender,normal,7.0,chinese shar pei/labrador retriever,adoption,8.0,1,0,adult,brown,white,chinese shar pei,labrador retriever,0.0,0.725,13.5,22.0,19.5,22.0,50.0,67.5,13,0,,other
surrender,normal,12.0,chow chow/pekingese,adoption,12.0,0,0,senior,black,black,chow chow,pekingese,0.0,0.1,81.0,100.0,18.47058823529412,21.454248366013072,43.96732026143791,56.26143790849673,142,1,,other
surrender,normal,6.0,labrador retriever,adoption,7.0,1,0,adult,buff,buff,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,15,0,,labrador retriever
stray,normal,13.0,australian shepherd,adoption,13.0,1,0,senior,blue,merle,australian shepherd,australian shepherd,1.0,0.5,26.0,40.0,18.0,23.0,40.0,60.0,9,0,,australian shepherd
stray,normal,11.0,pit bull/boxer,adoption,12.0,0,0,senior,white,brown,pit bull,boxer,0.0,0.6,21.0,32.5,19.0,22.0,52.5,60.0,75,1,,pit bull
surrender,normal,9.0,labrador retriever,adoption,9.0,0,0,senior,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,37,1,,labrador retriever
public_assist,normal,12.0,chihuahua,adoption,12.0,0,0,senior,black,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,75,1,,chihuahua
surrender,normal,10.0,norwich terrier,adoption,10.0,0,0,senior,brown,black,norwich terrier,norwich terrier,1.0,0.7,16.0,25.0,17.941176470588236,20.908496732026144,42.93464052287582,57.52287581699346,33,1,,other
surrender,normal,9.0,labrador retriever,adoption,9.0,1,0,senior,white,tan,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,126,1,,labrador retriever
surrender,normal,10.0,pit bull,adoption,10.0,0,0,senior,red,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,132,1,,pit bull
surrender,normal,6.0,pit bull,adoption,6.0,1,0,adult,red,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,29,1,,pit bull
stray,normal,7.0,vizsla/labrador retriever,adoption,8.0,1,0,adult,brown,brown,vizsla,labrador retriever,0.0,0.8999999999999999,3.0,9.5,34.5,45.0,38.5,52.5,189,1,,other
surrender,normal,9.0,pit bull,adoption,9.0,0,0,senior,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,46,1,,pit bull
surrender,normal,10.0,pit bull,euthanasia,10.0,0,0,senior,tan,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,57,1,,pit bull
stray,normal,12.0,chihuahua,adoption,12.0,0,0,senior,black,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,15,0,,chihuahua
stray,normal,8.0,australian cattle dog,adoption,8.0,0,0,adult,white,red,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,52,1,,australian cattle dog
stray,normal,8.0,pit bull,adoption,8.0,0,0,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,172,1,,pit bull
stray,normal,6.0,chinese shar pei,euthanasia,6.0,1,0,adult,brown,brown,chinese shar pei,chinese shar pei,1.0,0.5,26.0,40.0,18.0,20.0,45.0,55.0,11,0,,other
surrender,normal,12.0,labrador retriever,adoption,13.0,0,0,senior,cream,cream,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,19,0,,labrador retriever
surrender,normal,5.0,akita,adoption,6.0,0,0,adult,white,white,akita,akita,1.0,0.5,26.0,40.0,26.0,28.0,80.0,120.0,22,1,,other
stray,normal,12.0,labrador retriever,adoption,12.0,1,0,senior,brown,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,26,1,,labrador retriever
