intake_type,condition,age_in,breed,outcome,age_out,sex,intact_out,age,primary_color,secondary_color,breed_1,breed_2,pure,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,time_in_shelter,at_risk,cond,breed_3
stray,normal,9.0,fox terrier,adoption,9.0,0,0,senior,white,black,fox terrier,fox terrier,1.0,0.5,26.0,40.0,13.0,16.0,15.0,20.0,27,1,,fox terrier
stray,normal,2.0,dachshund,adoption,2.0,0,0,adult,black,white,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,11,0,,dachshund
public_assist,normal,3.0,boxer,adoption,3.0,1,0,adult,brown,brindle,boxer,boxer,1.0,0.5,26.0,40.0,21.0,25.0,65.0,70.0,96,1,,boxer
stray,normal,6.0,cairn terrier/affenpinscher,adoption,6.0,0,0,adult,black,black,cairn terrier,affenpinscher,0.0,0.7,16.0,25.0,9.0,11.0,11.0,13.0,21,1,,cairn terrier
stray,normal,2.0,jack russell terrier,adoption,2.0,1,0,adult,white,black,jack russell terrier,jack russell terrier,1.0,0.5,26.0,40.0,17.941176470588236,20.908496732026144,42.93464052287582,57.52287581699346,74,1,,jack russell terrier
stray,normal,0.0,labrador retriever/pit bull,adoption,0.0,1,0,baby,chocolate,white,labrador retriever,pit bull,0.0,0.825,8.5,14.5,19.0,21.5,47.5,65.0,8,0,,labrador retriever
stray,normal,4.0,pit bull,euthanasia,4.0,1,0,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,16,0,,pit bull
stray,normal,3.0,german shepherd,adoption,3.0,0,0,adult,sable,sable,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,12,0,,german shepherd
stray,normal,5.0,australian cattle dog,adoption,5.0,0,0,adult,brown,brown,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,19,0,,australian cattle dog
stray,normal,2.0,great pyrenees,adoption,2.0,1,0,adult,buff,buff,great pyrenees,great pyrenees,1.0,0.3,41.0,80.0,27.0,32.0,95.0,120.0,32,1,,great pyrenees
stray,normal,1.0,pit bull,adoption,1.0,0,0,young,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,24,1,,pit bull
surrender,normal,1.0,labrador retriever/great pyrenees,adoption,1.0,0,0,young,black,black,labrador retriever,great pyrenees,0.0,0.625,21.0,42.0,24.0,28.0,75.0,100.0,9,0,,labrador retriever
stray,normal,3.0,pit bull,adoption,3.0,0,0,adult,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,83,1,,pit bull
stray,normal,2.0,pit bull,adoption,2.0,0,0,adult,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,46,1,,pit bull
stray,normal,1.0,labrador retriever/pointer,adoption,1.0,1,0,young,black,white,labrador retriever,pointer,0.0,0.725,13.5,22.0,21.0,24.0,49.5,73.0,12,0,,labrador retriever
surrender,normal,3.0,miniature poodle/yorkshire terrier,adoption,3.0,0,0,adult,brown,brown,miniature poodle,yorkshire terrier,0.0,0.6349290780141843,20.659574468085104,33.01418439716312,9.0,11.5,11.5,13.5,8,0,,miniature poodle
stray,normal,2.0,pit bull,euthanasia,2.0,1,0,adult,brown,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,11,0,,pit bull
surrender,normal,4.0,pit bull,adoption,4.0,1,0,adult,blue,tiger,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,16,0,,pit bull
stray,normal,1.0,labrador retriever,adoption,1.0,1,0,young,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,8,0,,labrador retriever
surrender,normal,2.0,pit bull,euthanasia,2.0,0,0,adult,white,brown,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,12,0,,pit bull
stray,normal,1.0,anatolian sheepdog,adoption,1.0,1,0,young,brown,white,anatolian sheepdog,anatolian sheepdog,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,27.0,29.0,100.0,150.0,11,0,,anatolian sheepdog
surrender,normal,4.0,bulldog,adoption,4.0,0,0,adult,brown,white,bulldog,bulldog,1.0,0.1,81.0,100.0,12.0,16.0,50.0,60.0,151,1,,other
surrender,normal,1.0,bulldog,adoption,1.0,1,0,young,brown,white,bulldog,bulldog,1.0,0.1,81.0,100.0,12.0,16.0,50.0,60.0,20,0,,other
surrender,normal,2.0,german shepherd,adoption,2.0,0,0,adult,black,brown,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,9,0,,german shepherd
stray,normal,4.0,chihuahua,adoption,4.0,0,0,adult,tan,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,10,0,,chihuahua
stray,normal,4.0,pit bull,adoption,4.0,1,0,adult,brown,brown,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,17,0,,pit bull
surrender,normal,1.0,pit bull,adoption,1.0,1,0,young,brown,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,42,1,,pit bull
stray,normal,5.0,pit bull,euthanasia,5.0,0,1,adult,black,black,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,16,0,,pit bull
stray,normal,2.0,great pyrenees,adoption,2.0,1,0,adult,white,white,great pyrenees,great pyrenees,1.0,0.3,41.0,80.0,27.0,32.0,95.0,120.0,18,0,,great pyrenees
surrender,normal,3.0,pit bull,euthanasia,3.0,1,1,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,12,0,,pit bull
stray,normal,1.0,dachshund/chihuahua,adoption,1.0,0,0,young,brown,brown,dachshund,chihuahua,0.0,0.4,33.5,60.0,6.5,9.5,9.0,18.5,12,0,,dachshund
surrender,normal,8.0,siberian husky,adoption,8.0,0,0,adult,buff,buff,siberian husky,siberian husky,1.0,0.5,26.0,40.0,20.0,23.0,40.0,60.0,10,0,,siberian husky
stray,normal,2.0,chihuahua,adoption,2.0,1,0,adult,tricolor,tricolor,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,12,0,,chihuahua
stray,normal,1.0,chihuahua,adoption,1.0,0,0,young,white,brown,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,8,0,,chihuahua
stray,normal,1.0,pit bull,euthanasia,1.0,1,1,young,tan,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,22,1,,pit bull
stray,normal,2.0,jack russell terrier,adoption,2.0,0,0,adult,white,tan,jack russell terrier,jack russell terrier,1.0,0.5,26.0,40.0,17.941176470588236,20.908496732026144,42.93464052287582,57.52287581699346,11,0,,jack russell terrier
stray,normal,1.0,pit bull,adoption,1.0,0,0,young,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,44,1,,pit bull
stray,normal,2.0,german shepherd/siberian husky,adoption,2.0,1,0,adult,white,white,german shepherd,siberian husky,0.0,0.725,13.5,22.0,21.0,24.5,57.5,75.0,12,0,,german shepherd
stray,normal,1.0,vizsla,adoption,1.0,1,0,young,red,white,vizsla,vizsla,1.0,0.85,5.0,15.0,48.0,66.0,22.0,25.0,18,0,,other
stray,normal,2.0,australian cattle dog/border collie,adoption,2.0,0,0,adult,white,tricolor,australian cattle dog,border collie,0.0,0.95,1.0,4.0,18.0,20.5,37.5,42.5,11,0,,australian cattle dog
stray,normal,1.0,pit bull,adoption,1.0,0,0,young,tan,black,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,13,0,,pit bull
stray,normal,3.0,labrador retriever/german shepherd,adoption,3.0,0,0,adult,white,white,labrador retriever,german shepherd,0.0,0.95,1.0,4.0,21.5,25.0,65.0,85.0,10,0,,labrador retriever
stray,normal,1.0,pit bull,adoption,1.0,0,0,young,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,150,1,,pit bull
stray,normal,1.0,harrier,adoption,1.0,1,0,young,white,brown,harrier,harrier,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,19.0,21.0,40.0,60.0,21,1,,other
stray,normal,0.0,pit bull,adoption,0.0,0,0,baby,white,brown,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,9,0,,pit bull
stray,normal,1.0,pit bull/anatolian sheepdog,adoption,1.0,0,0,young,white,brown,pit bull,anatolian sheepdog,0.0,0.6349290780141843,20.659574468085104,33.01418439716312,22.0,24.0,70.0,100.0,9,0,,pit bull
stray,normal,0.0,labrador retriever,adoption,0.0,0,0,baby,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,8,0,,labrador retriever
stray,normal,1.0,pit bull,adoption,1.0,0,0,young,white,black,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,176,1,,pit bull
stray,normal,0.0,labrador retriever,adoption,0.0,0,0,baby,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,40,1,,labrador retriever
stray,normal,0.0,labrador retriever,adoption,0.0,1,0,baby,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,27,1,,labrador retriever
stray,normal,0.0,labrador retriever,adoption,0.0,1,0,baby,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,31,1,,labrador retriever
stray,normal,0.0,labrador retriever,adoption,0.0,1,0,baby,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,32,1,,labrador retriever
stray,normal,1.0,boxer,adoption,1.0,0,0,young,black,white,boxer,boxer,1.0,0.5,26.0,40.0,21.0,25.0,65.0,70.0,35,1,,boxer
stray,normal,1.0,miniature pinscher,adoption,1.0,1,0,young,black,brown,miniature pinscher,miniature pinscher,1.0,0.7,16.0,25.0,17.941176470588236,20.908496732026144,42.93464052287582,57.52287581699346,10,0,,other
stray,normal,0.0,chihuahua,adoption,0.0,1,0,baby,cream,cream,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,8,0,,chihuahua
stray,normal,1.0,australian cattle dog,adoption,1.0,0,0,young,blue,merle,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,8,0,,australian cattle dog
stray,nursing,0.0,chinese shar pei,adoption,0.0,1,0,baby,white,brown,chinese shar pei,chinese shar pei,1.0,0.5,26.0,40.0,18.0,20.0,45.0,55.0,55,1,,other
stray,nursing,0.0,chinese shar pei,adoption,0.0,0,0,baby,black,white,chinese shar pei,chinese shar pei,1.0,0.5,26.0,40.0,18.0,20.0,45.0,55.0,58,1,,other
stray,nursing,0.0,chinese shar pei,adoption,0.0,0,0,baby,white,black,chinese shar pei,chinese shar pei,1.0,0.5,26.0,40.0,18.0,20.0,45.0,55.0,58,1,,other
stray,nursing,0.0,chinese shar pei,adoption,0.0,1,0,baby,black,white,chinese shar pei,chinese shar pei,1.0,0.5,26.0,40.0,18.0,20.0,45.0,55.0,53,1,,other
stray,nursing,0.0,chinese shar pei,adoption,0.0,1,0,baby,brown,brindle,chinese shar pei,chinese shar pei,1.0,0.5,26.0,40.0,18.0,20.0,45.0,55.0,53,1,,other
stray,normal,1.0,australian shepherd/rhodesian ridgeback,adoption,1.0,1,1,young,black,red,australian shepherd,rhodesian ridgeback,0.0,0.5,26.0,40.0,21.0,25.0,55.0,72.5,20,0,,australian shepherd
public_assist,normal,3.0,pit bull,euthanasia,3.0,1,1,adult,white,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,22,1,,pit bull
stray,normal,1.0,australian cattle dog/border collie,adoption,1.0,0,0,young,tricolor,tricolor,australian cattle dog,border collie,0.0,0.95,1.0,4.0,18.0,20.5,37.5,42.5,20,0,,australian cattle dog
stray,normal,0.0,labrador retriever,adoption,0.0,0,0,baby,black,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,25,1,,labrador retriever
stray,normal,2.0,pit bull,adoption,2.0,1,0,adult,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,32,1,,pit bull
stray,normal,2.0,rottweiler,adoption,2.0,1,0,adult,black,tan,rottweiler,rottweiler,1.0,0.95,1.0,4.0,22.0,27.0,90.0,110.0,30,1,,other
stray,normal,0.0,border terrier,adoption,0.0,0,0,baby,white,tan,border terrier,border terrier,1.0,0.7,16.0,25.0,12.0,15.0,12.0,15.0,16,0,,other
surrender,normal,1.0,border collie,adoption,1.0,0,0,young,black,white,border collie,border collie,1.0,0.95,1.0,4.0,19.0,21.0,40.0,40.0,8,0,,border collie
stray,normal,4.0,pit bull,euthanasia,4.0,1,1,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,17,0,,pit bull
stray,normal,3.0,rottweiler,euthanasia,3.0,1,0,adult,black,brown,rottweiler,rottweiler,1.0,0.95,1.0,4.0,22.0,27.0,90.0,110.0,22,1,,other
stray,normal,1.0,jack russell terrier/brittany,adoption,1.0,0,0,young,red,white,jack russell terrier,brittany,0.0,0.675,15.5,27.5,17.470588235294116,20.954248366013072,36.46732026143791,48.76143790849673,12,0,,jack russell terrier
stray,normal,3.0,pit bull,adoption,3.0,1,0,adult,red,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,76,1,,pit bull
stray,normal,3.0,pit bull,adoption,3.0,0,0,adult,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,46,1,,pit bull
stray,injured,1.0,labrador retriever,adoption,1.0,0,0,young,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,56,1,,labrador retriever
stray,normal,0.0,pit bull,adoption,0.0,1,0,baby,white,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,48,1,,pit bull
public_assist,normal,4.0,pit bull/boxer,euthanasia,4.0,1,0,adult,brown,white,pit bull,boxer,0.0,0.6,21.0,32.5,19.0,22.0,52.5,60.0,15,0,,pit bull
stray,normal,0.0,labrador retriever/black and tan coonhound,adoption,0.0,0,0,baby,black,black,labrador retriever,black and tan coonhound,0.0,0.725,13.5,22.0,22.0,25.5,52.5,77.5,12,0,,labrador retriever
stray,normal,0.0,labrador retriever/black and tan coonhound,adoption,0.0,1,0,baby,black,white,labrador retriever,black and tan coonhound,0.0,0.725,13.5,22.0,22.0,25.5,52.5,77.5,24,1,,labrador retriever
stray,normal,2.0,pit bull,adoption,2.0,1,0,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,10,0,,pit bull
stray,normal,0.0,pit bull,adoption,0.0,1,0,baby,white,tan,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,10,0,,pit bull
stray,normal,5.0,dachshund,adoption,6.0,0,0,adult,chocolate,tricolor,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,10,0,,dachshund
stray,normal,1.0,australian cattle dog/chihuahua,adoption,1.0,0,0,young,black,black,australian cattle dog,chihuahua,0.0,0.625,21.0,42.0,11.5,14.5,18.5,25.0,11,0,,australian cattle dog
stray,normal,3.0,australian cattle dog,euthanasia,3.0,1,1,adult,red,white,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,18,0,,australian cattle dog
stray,normal,1.0,german shepherd,adoption,1.0,1,0,young,brown,black,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,55,1,,german shepherd
stray,normal,1.0,basenji,adoption,1.0,1,0,young,tan,white,basenji,basenji,1.0,0.1,81.0,100.0,17.0,17.0,20.0,22.0,105,1,,other
stray,normal,6.0,chow chow,adoption,6.0,1,0,adult,red,white,chow chow,chow chow,1.0,0.1,81.0,100.0,19.0,22.0,45.0,55.0,21,1,,other
stray,normal,4.0,labrador retriever,adoption,4.0,1,0,adult,yellow,yellow,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,22,1,,labrador retriever
stray,normal,2.0,labrador retriever,adoption,2.0,1,0,adult,tan,tan,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,20,0,,labrador retriever
stray,normal,2.0,pit bull,adoption,2.0,1,0,adult,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,92,1,,pit bull
stray,normal,2.0,bulldog/pit bull,adoption,2.0,1,0,adult,tan,white,bulldog,pit bull,0.0,0.3999999999999999,48.5,62.5,14.5,17.5,45.0,55.0,24,1,,other
stray,normal,7.0,chihuahua,adoption,8.0,1,0,adult,black,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,8,0,,chihuahua
surrender,normal,1.0,border collie/labrador retriever,adoption,1.0,0,0,young,black,white,border collie,labrador retriever,0.0,0.95,1.0,4.0,20.0,22.5,47.5,60.0,22,1,,border collie
stray,normal,4.0,border collie/chow chow,adoption,4.0,0,0,adult,black,black,border collie,chow chow,0.0,0.525,41.0,52.0,19.0,21.5,42.5,47.5,21,1,,border collie
stray,normal,1.0,pit bull,adoption,1.0,1,0,young,white,blue,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,22,1,,pit bull
stray,normal,1.0,pointer,adoption,1.0,0,0,young,brown,white,pointer,pointer,1.0,0.5,26.0,40.0,21.0,24.0,44.0,66.0,47,1,,pointer
stray,normal,1.0,pit bull,adoption,1.0,0,0,young,brown,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,52,1,,pit bull
stray,normal,1.0,pit bull,euthanasia,1.0,1,0,young,white,tan,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,32,1,,pit bull
stray,injured,0.0,labrador retriever,adoption,1.0,0,0,young,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,67,1,,labrador retriever
stray,injured,1.0,australian shepherd,adoption,1.0,0,0,young,brown,black,australian shepherd,australian shepherd,1.0,0.5,26.0,40.0,18.0,23.0,40.0,60.0,49,1,,australian shepherd
stray,normal,1.0,dachshund,adoption,1.0,0,0,young,red,red,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,59,1,,dachshund
stray,normal,5.0,chihuahua,adoption,5.0,0,0,adult,black,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,12,0,,chihuahua
stray,normal,0.0,german shepherd,adoption,0.0,0,0,baby,sable,white,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,40,1,,german shepherd
stray,normal,1.0,bull terrier,adoption,1.0,0,0,young,white,brown,bull terrier,bull terrier,1.0,0.3,41.0,80.0,21.0,22.0,50.0,70.0,17,0,,other
stray,injured,4.0,labrador retriever,adoption,4.0,1,0,adult,brown,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,71,1,,labrador retriever
stray,normal,0.0,pug,adoption,0.0,0,0,baby,brown,black,pug,pug,1.0,0.3,41.0,80.0,10.0,11.0,14.0,22.0,18,0,,other
stray,normal,2.0,pit bull,adoption,2.0,1,0,adult,blue,blue,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,21,1,,pit bull
stray,normal,1.0,australian cattle dog,adoption,1.0,1,0,young,blue,tick,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,17,0,,australian cattle dog
stray,injured,0.0,labrador retriever,adoption,0.0,1,0,baby,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,16,0,,labrador retriever
surrender,normal,2.0,labrador retriever,euthanasia,2.0,1,0,adult,white,white,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,12,0,,labrador retriever
public_assist,normal,3.0,chow chow/german shepherd,adoption,3.0,1,0,adult,gold,brown,chow chow,german shepherd,0.0,0.525,41.0,52.0,20.5,24.0,60.0,72.5,15,0,,other
stray,normal,2.0,rhodesian ridgeback,adoption,2.0,1,0,adult,red,red,rhodesian ridgeback,rhodesian ridgeback,1.0,0.5,26.0,40.0,24.0,27.0,70.0,85.0,25,1,,other
stray,normal,1.0,bulldog,adoption,2.0,0,0,adult,white,black,bulldog,bulldog,1.0,0.1,81.0,100.0,12.0,16.0,50.0,60.0,163,1,,other
stray,normal,1.0,australian cattle dog/german shepherd,adoption,1.0,1,0,young,blue,merle,australian cattle dog,german shepherd,0.0,0.95,1.0,4.0,19.5,23.0,55.0,67.5,9,0,,australian cattle dog
stray,normal,1.0,dachshund,adoption,1.0,1,0,young,brown,brindle,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,44,1,,dachshund
stray,normal,1.0,labrador retriever,adoption,1.0,0,0,young,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,8,0,,labrador retriever
surrender,normal,1.0,australian cattle dog,adoption,1.0,1,0,young,blue,merle,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,10,0,,australian cattle dog
stray,normal,2.0,chihuahua,died,2.0,0,1,adult,tan,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,9,0,,chihuahua
stray,normal,1.0,border collie/doberman pinscher,adoption,1.0,0,0,young,black,brown,border collie,doberman pinscher,0.0,0.95,1.0,4.0,22.5,24.5,50.0,70.0,13,0,,border collie
stray,normal,5.0,chihuahua/fox terrier,adoption,5.0,1,0,adult,black,brown,chihuahua,fox terrier,0.0,0.4,33.5,60.0,9.5,12.5,8.5,12.5,42,1,,chihuahua
surrender,normal,7.0,basset hound,adoption,7.0,0,0,adult,tricolor,tricolor,basset hound,basset hound,1.0,0.1,81.0,100.0,14.0,14.0,40.0,50.0,11,0,,other
stray,normal,1.0,german shepherd,adoption,1.0,1,0,young,tan,black,german shepherd,german shepherd,1.0,0.95,1.0,4.0,22.0,26.0,75.0,90.0,56,1,,german shepherd
stray,normal,1.0,pit bull,adoption,1.0,1,0,young,black,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,11,0,,pit bull
stray,normal,0.0,chihuahua,adoption,0.0,0,0,baby,buff,buff,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,11,0,,chihuahua
stray,normal,0.0,chihuahua,adoption,0.0,1,0,baby,tan,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,8,0,,chihuahua
stray,normal,0.0,chihuahua,adoption,0.0,0,0,baby,black,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,13,0,,chihuahua
stray,normal,0.0,chihuahua,adoption,0.0,1,1,baby,brown,white,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,11,0,,chihuahua
stray,normal,1.0,dachshund/pit bull,adoption,1.0,1,0,young,fawn,fawn,dachshund,pit bull,0.0,0.6,21.0,32.5,12.0,14.5,28.0,41.0,39,1,,dachshund
surrender,normal,1.0,cairn terrier,adoption,1.0,0,0,young,buff,buff,cairn terrier,cairn terrier,1.0,0.7,16.0,25.0,9.0,10.0,14.0,14.0,19,0,,cairn terrier
stray,normal,2.0,chihuahua,adoption,2.0,0,0,adult,buff,buff,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,18,0,,chihuahua
stray,normal,2.0,chihuahua,adoption,2.0,0,0,adult,buff,buff,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,122,1,,chihuahua
stray,normal,0.0,pit bull,adoption,0.0,0,0,baby,brown,brindle,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,25,1,,pit bull
stray,normal,0.0,pointer,adoption,0.0,0,0,baby,white,black,pointer,pointer,1.0,0.5,26.0,40.0,21.0,24.0,44.0,66.0,12,0,,pointer
stray,normal,2.0,pit bull,adoption,2.0,1,0,adult,black,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,12,0,,pit bull
stray,normal,1.0,dachshund/miniature schnauzer,adoption,1.0,1,0,young,black,silver,dachshund,miniature schnauzer,0.0,0.675,15.5,27.5,12.470588235294118,15.454248366013072,29.46732026143791,44.76143790849673,9,0,,dachshund
stray,normal,2.0,pit bull,adoption,2.0,0,0,adult,blue,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,39,1,,pit bull
surrender,normal,1.0,labrador retriever,adoption,1.0,1,0,young,black,black,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,38,1,,labrador retriever
stray,normal,7.0,pit bull/boxer,adoption,7.0,0,0,adult,brown,white,pit bull,boxer,0.0,0.6,21.0,32.5,19.0,22.0,52.5,60.0,31,1,,pit bull
surrender,normal,3.0,dachshund,euthanasia,3.0,1,1,adult,brown,brown,dachshund,dachshund,1.0,0.5,26.0,40.0,7.0,10.0,16.0,32.0,11,0,,dachshund
stray,injured,2.0,pit bull,euthanasia,2.0,1,0,adult,white,tan,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,50,1,,pit bull
stray,normal,6.0,miniature poodle,adoption,6.0,1,0,adult,apricot,apricot,miniature poodle,miniature poodle,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,10.0,15.0,20.0,20.0,15,0,,miniature poodle
stray,normal,7.0,jack russell terrier/beagle,adoption,7.0,0,0,adult,black,white,jack russell terrier,beagle,0.0,0.3,53.5,70.0,15.470588235294118,18.454248366013072,30.46732026143791,43.76143790849673,44,1,,jack russell terrier
surrender,normal,0.0,labrador retriever,adoption,0.0,1,0,baby,brown,brown,labrador retriever,labrador retriever,1.0,0.95,1.0,4.0,21.0,24.0,55.0,80.0,11,0,,labrador retriever
stray,normal,1.0,pit bull,adoption,1.0,1,0,young,brown,white,pit bull,pit bull,1.0,0.7,16.0,25.0,17.0,19.0,40.0,50.0,101,1,,pit bull
stray,normal,0.0,plott hound,adoption,0.0,1,0,baby,brown,brindle,plott hound,plott hound,1.0,0.5698581560283685,25.31914893617021,41.02836879432624,20.0,24.0,45.0,55.0,16,0,,other
surrender,normal,3.0,australian cattle dog,adoption,3.0,0,0,adult,black,white,australian cattle dog,australian cattle dog,1.0,0.95,1.0,4.0,17.0,20.0,35.0,45.0,33,1,,australian cattle dog
stray,normal,2.0,labrador retriever/chinese shar pei,adoption,2.0,0,0,adult,yellow,yellow,labrador retriever,chinese shar pei,0.0,0.725,13.5,22.0,19.5,22.0,50.0,67.5,64,1,,labrador retriever
stray,normal,1.0,chihuahua,adoption,1.0,0,0,young,buff,buff,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,10,0,,chihuahua
stray,normal,1.0,chihuahua,adoption,1.0,0,0,young,black,tan,chihuahua,chihuahua,1.0,0.3,41.0,80.0,6.0,9.0,2.0,5.0,21,1,,chihuahua
