name,breeds
elk-kee,"['keeshond', 'norwegian elkhound']"
eng-a-poo,"['english toy spaniel', 'poodle']"
enga-apso,"['english toy spaniel', 'lhasa apso']"
engachon,"['bichon frise', 'english toy spaniel']"
engam bulldog x olde bulldog,"['american bulldog', 'english bulldog']"
enganese,"['english toy spaniel', 'havanese']"
engatzu spaniel,"['english toy spaniel', 'shih tzu']"
englian mastiff,"['english mastiff', 'neapolitan mastiff']"
english boodle,"['english bulldog', 'poodle']"
english borsetter collie,"['border collie', 'english setter']"
english boston-bulldog,"['boston terrier', 'english bulldog']"
english boxetter,"['english setter', 'boxer']"
english bull dane,"['english bulldog', 'great dane']"
english bull springer,"['bulldog', 'english springer spaniel']"
english bull terrier pit,"['bull terrier', 'pit bull terrier']"
english bullamute,"['bulldog', 'alaskan malamute']"
english bull staffy,"['english bulldog', 'american staffordshire terrier']"
english bull-walker,"['bulldog', 'treeing walker']"
english bullweiler,"['english bulldog', 'rottweiler']"
english bulldog terrier,"['english bulldog', 'bull terrier']"
english bulltyme,"['english bulldog', 'olde tyme bulldog']"
english bully staffy bull terrier,"['english bulldog', 'staffordshire bull terrier']"
english catahoula shepherd,"['english shepherd', 'louisiana catahoula leopard dog']"
english cocker chow,"['english cocker spaniel', 'chow chow']"
english collie shepherd,"['english shepherd', 'collie']"
english coonoodle,"['english coonhound', 'poodle']"
english coon rottie,"['american english coonhound', 'rottweiler']"
english king,"['cavalier king charles', 'english toy spaniel']"
english lhasa bull,"['english bulldog', 'lhasa apso']"
english mastahoula,"['english mastiff', 'louisiana catahoula leopard dog']"
english mastweiler,"['mastiff', 'rottweiler']"
english mini foxker,"['english cocker spaniel', 'miniature fox terrier']"
english neo bull,"['bulldog', 'neapolitan mastiff']"
english presa bulldog,"['english bulldog', 'presa canario']"
english spanador,"['english cocker spaniel', 'labrador retriever']"
english spantriever,"['english cocker spaniel', 'labrador retriever']"
english speagle,"['beagle', 'english toy spaniel']"
english springerman,"['doberman pinscher', 'english springer spaniel']"
english  sprointer,"['english pointer', 'english springer spaniel']"
english toy chin spaniel,"['english toy spaniel', 'japanese chin']"
english toy cocker spaniel,"['cocker spaniel', 'english toy spaniel']"
english toy griffon,"['brussels griffon', 'english toy spaniel']"
english toy papillon,"['papillon', 'english toy spaniel']"
english toy spanese,"['english toy spaniel', 'pekingese']"
entlebucher pit,"['entlebucher mountain dog', 'american pit bull terrier']"
eskapoo,"['american eskimo dog', 'poodle']"
eskenji,"['american eskimo', 'basenji']"
eskidor,"['american eskimo', 'labrador retriever']"
eskifon,"['american eskimo', 'brussels griffon']"
eskijack,"['american eskimo', 'jack russell terrier']"
eskimo chi,"['american eskimo', 'chihuahua']"
eskimo chin,"['chin', 'american eskimo dog']"
eskimo pit,"['american pit bull terrier', 'american eskimo dog']"
eskimo schnauzer,"['american eskimo', 'schnauzer']"
eskimo shepherd,"['american eskimo', 'german shepherd']"
eskimo yorkie,"['american eskimo', 'yorkshire terrier']"
eskland,"['american eskimo', 'shetland sheepdog']"
euro mountain sheparnese,"['bernese mountain dog', 'german shepherd']"
ewokian,"['havanese', 'pomeranian']"
faux frenchbo bulldog,"['boston terrier', 'french bulldog']"
feist chi,"['mountain feist', 'chihuahua']"
feist tzu,"['mountain feist', 'shih tzu']"
fila tosa,"['fila brasileiro', 'japanese tosa']"
finnish chow spitz,"['finnish spitz', 'chow chow']"
flandoodle,"['bouvier des flandres', 'poodle']"
fo-tzu,"['shih tzu', 'toy fox terrier']"
foodle,"['poodle', 'toy fox terrier']"
fourche terrier,"['westie', 'yorkshire terrier']"
foxhoodle,"['fox hound', 'poodle']"
foxingese,"['pekingese', 'fox terrier']"
foxker,"['cocker spaniel', 'fox terrier']"
foxton,"['boston terrier', 'toy fox terrier']"
foxy rat terrier,"['american rat terrier', 'toy fox terrier']"
foxy russell,"['jack russell terrier', 'toy fox terrier']"
free-lance bulldog,"['french bulldog', 'bulldog']"
french afghan mastiff,"['dogue de bordeaux', 'afghan hound']"
french buillon,"['french bulldog', 'papillon']"
french bull dane,"['french bulldog', 'great dane']"
french bull jack,"['french bulldog', 'jack russell terrier']"
french bull rat terrier,"['french bulldog', 'american rat terrier']"
french bull terrier,"['french bulldog', 'bull terrier']"
french bull tzu,"['french bulldog', 'shih tzu']"
french bull weiner,"['french bulldog', 'dachshund']"
french bullhuahua,"['french bulldog', 'chihuahua']"
french bullnese,"['french bulldog', 'pekingese']"
french bulloxer,"['boxer', 'french bulldog']"
french bullweiler,"['french bulldog', 'rottweiler']"
french masti-bull,"['french bulldog', 'mastiff']"
french mastahoula,"['french mastiff', 'louisiana catahoula leopard dog']"
french pin,"['french bulldog', 'miniature pinscher']"
french west highlander,"['french bulldog', 'west highland white terrier']"
frenchie bichon,"['french bulldog', 'bichon frise']"
frenchie labrador,"['french bulldog', 'labrador retriever']"
frenchie-pei,"['french bulldog', 'chinese shar pei']"
frenchie pug,"['french bulldog', 'pug']"
frenchie shepherd,"['french bulldog', 'german shepherd']"
frenchie staff,"['french bulldog', 'american staffordshire terrier']"
frenchnese,"['french bulldog', 'havanese']"
frengle,"['french bulldog', 'beagle']"
froodle,"['french bulldog', 'poodle']"
gerberian shepsky,"['german shepherd', 'siberian husky']"
german anatolian shepherd,"['german shepherd', 'anatolian shepherd']"
german australian shepherd,"['german shepherd', 'australian shepherd']"
german groenendael,"['german shepherd', 'belgian shepherd']"
german hund pointer,"['german wirehaired pointer', 'dachshund']"
german longhaired sprointer,"['german longhaired pointer', 'english springer spaniel']"
german malinois,"['belgian malinois', 'german shepherd']"
german pointeraner,"['german shorthaired pointer', 'weimaraner']"
german sheltie spitz,"['german spitz', 'shetland sheepdog']"
german sheprador,"['german shepherd', 'labrador retriever']"
german shorthair toller,"['german shorthaired pointer', 'nova scotia duck tolling retriever']"
german shorthaired lab,"['german shorthaired pointer', 'labrador retriever']"
german shorthaired pointerpoodle,"['german shorthaired pointer', 'poodle']"
german shorthaired sprointer,"['german shorthaired pointer', 'english springer spaniel']"
german shorthaired weimaraner,"['german shorthaired pointer', 'weimaraner']"
german spitz shepherd,"['german spitz', 'german shepherd']"
german spitzpoo,"['german spitz', 'poodle']"
german wirehaired lab,"['german wirehaired pointer', 'labrador retriever']"
german wirehaired newfie,"['german wirehaired pointer', 'newfoundland']"
german wirehaired pointing vizsla,"['german wirehaired pointer', 'vizsla']"
german wirehaired pointing wolfhound,"['german wirehaired pointer', 'irish wolfhound']"
german wirehaired sprointer,"['german wirehaired pointer', 'english springer spaniel']"
german yorkie shepherd,"['german shepherd', 'yorkshire terrier']"
germanees,"['german shepherd', 'great pyrenees']"
giant bolonauzer,"['bolognese', 'giant schnauzer']"
giant border schnollie,"['border collie', 'giant schnauzer']"
giant irish wolf schnauzer,"['giant schnauzer', 'irish wolfhound']"
giant kerry blue schnauzer,"['giant schnauzer', 'kerry blue terrier']"
giant komondauzer,"['giant schnauzer', 'komondor']"
giant ratzer,"['giant schnauzer', 'rat terrier']"
giant schnauzer chin,"['japanese chin', 'giant schnauzer']"
giant schnoodle,"['giant schnauzer', 'standard poodle']"
giant wauzer,"['westie', 'giant schnauzer']"
giant wire hair snauzer,"['giant schnauzer', 'wire fox terrier']"
glechon,"['beagle', 'bichon frise']"
goberian,"['golden retriever', 'siberian husky']"
golden akita retriever,"['golden retriever', 'akita']"
golden border retriever,"['golden retriever', 'border collie']"
golden boxer,"['golden retriever', 'boxer']"
golden bulldog,"['golden retriever', 'bulldog']"
golden bullmastiff retriever,"['bullmastiff', 'golden retriever']"
golden cavalier,"['cavalier king charles spaniel', 'golden retriever']"
golden chesabay,"['golden retriever', 'chesapeake bay retriever']"
golden chow retriever,"['golden retriever', 'chow chow']"
golden cocker retriever,"['cocker spaniel', 'golden retriever']"
golden dox,"['golden retriever', 'dachshund']"
golden indian dog,"['golden retriever', 'native american indian dog']"
golden irish,"['golden retriever', 'irish setter']"
golden jack retriever,"['golden retriever', 'jack russell terrier']"
golden labrador,"['golden retriever', 'labrador retriever']"
golden mastiff,"['golden retriever', 'english mastiff']"
golden mountain dog,"['golden retriever', 'bernese mountain dog']"
golden newfie,"['golden retriever', 'newfoundland']"
golden pei,"['chinese shar pei', 'golden retriever']"
golden pyrenees,"['golden retriever', 'great pyrenees']"
golden rottie retriever,"['golden retriever', 'rottweiler']"
golden saint,"['golden retriever', 'saint bernard']"
golden sammy,"['golden retriever', 'samoyed']"
golden sheltie,"['golden retriever', 'sheltie']"
golden shepherd,"['golden retriever', 'german shepherd']"
golden tibetan tertriever,"['golden retriever', 'tibetan terrier']"
golden toller retriever,"['golden retriever', 'nova scotia duck tolling retriever']"
goldenapso retriever,"['golden retriever', 'lhasa apso']"
goldendale,"['golden retriever', 'airedale terrier']"
goldenshire,"['golden retriever', 'yorkshire terrier']"
goldendoodle,"['golden retriever', 'poodle']"
goldmaraner,"['golden retriever', 'weimaraner']"
goldmation,"['golden retriever', 'dalmatian']"
gollie,"['golden retriever', 'collie']"
gordon chesabay,"['gordon setter', 'chesapeake bay retriever']"
gordon sheltie,"['gordon setter', 'shetland sheepdog']"
gordondoodle,"['gordon setter', 'poodle']"
great bernese,"['bernese mountain dog', 'great pyrenees']"
great cambrian shepherd,"['great pyrenees', 'welsh sheepdog']"
great danebull,"['american pit bull terrier', 'great dane']"
great danesky,"['great dane', 'siberian husky']"
great danoodle,"['great dane', 'poodle']"
great dasenji,"['great dane', 'basenji']"
great golden dane,"['golden retriever', 'great dane']"
great keeshees,"['great pyrenees', 'keeshond']"
great pyredane,"['great dane', 'great pyrenees']"
great weimar,"['great dane', 'weimaraner']"
great wirehaired gryfenees,"['wirehaired pointing griffon', 'great pyrenees']"
great wolfhound,"['great pyrenees', 'irish wolfhound']"
greater swiss mountain dane,"['greater swiss mountain dog', 'great dane']"
greater swiss rottweiler,"['greater swiss mountain dog', 'rottweiler']"
greater welsh corswiss,"['welsh corgi', 'greater swiss mountain dog']"
greyador,"['greyhound', 'labrador retriever']"
greybull pit,"['american pit bull terrier', 'greyhound']"
greyhound shepherd,"['greyhound', 'german shepherd']"
griffairn terrier,"['brussels griffon', 'cairn terrier']"
griffichon,"['bichon frise', 'brussels griffon']"
griffon-pei,"['brussels griffon', 'chinese shar-pei']"
griffonese,"['brussels griffon', 'pekingese']"
griffonland,"['brussels griffon', 'west highland white terrier']"
griffonshire,"['brussels griffon', 'yorkshire terrier']"
groenendael chow,"['belgian shepherd', 'chow chow']"
hava-apso,"['havanese', 'lhasa apso']"
hava-boston,"['havanese', 'boston terrier']"
hava-jack,"['havanese', 'jack russell terrier']"
hava klee,"['havanese', 'alaskan klee kai']"
hava-welsh,"['havanese', 'welsh terrier']"
hava-wheat,"['havanese', 'soft coated wheaten terrier']"
havachin,"['havanese', 'japanese chin']"
havachon,"['bichon frise', 'havanese']"
havaco,"['havanese', 'cocker spaniel']"
havallon,"['havanese', 'papillon']"
havamalt,"['havanese', 'maltese']"
havanestie,"['havanese', 'west highland terrier']"
havapeke,"['havanese', 'pekingese']"
havashire,"['havanese', 'yorkshire terrier']"
havashu,"['havanese', 'shih tzu']"
havaton,"['coton de tulear', 'havanese']"
heeler pei,"['australian cattle dog', 'chinese shar-pei']"
highland maltie,"['west highland white terrier westie', 'maltese']"
hovie gold retriever,"['hovawart', 'golden retriever']"
hug,"['siberian husky', 'pug']"
hush basset,"['basset hound', 'cocker spaniel']"
husker,"['boxer', 'siberian husky']"
huskimo,"['siberian husky', 'american eskimo']"
huskita,"['siberian husky', 'akita']"
husky jack,"['siberian husky', 'jack russell terrier']"
husky wheaten,"['siberian husky', 'soft coated wheaten terrier']"
imo-inu,"['american eskimo', 'shiba inu']"
irish afghan setter,"['irish setter', 'afghan hound']"
irish bostetter,"['irish setter', 'boston terrier']"
irish boston terrier,"['irish terrier', 'boston terrier']"
irish dane,"['irish wolfhound', 'great dane']"
irish dobe setter,"['irish setter', 'doberman pinscher']"
irish doodle,"['irish setter', 'poodle']"
irish lakeland terrier,"['irish terrier', 'lakeland terrier']"
irish mastiff,"['irish wolfhound', 'mastiff']"
irish russian spanterrier,"['irish water spaniel', 'black russian terrier']"
irish troodle,"['irish terrier', 'poodle']"
irish wolf greyhound,"['irish wolfhound', 'greyhound']"
irish wolfoodle,"['irish wolfhound', 'poodle']"
irish wolf schnauzer,"['giant schnauzer', 'irish wolfhound']"
irish wolfsky,"['irish wolfhound', 'siberian husky']"
italian greycrested,"['italian greyhound', 'chinese crested']"
italian greyenji,"['italian greyhound', 'basenji']"
italian-bichon,"['bichon frise', 'italian greyhound']"
italian border greyollie,"['border collie', 'italian greyhound']"
italian bulldogge,"['neapolitan mastiff', 'olde english bulldogge']"
italian cairn,"['cairn terrier', 'italian greyhound']"
italian cavalier greyhound,"['italian greyhound', 'cavalier king charles spaniel']"
italian daniff,"['cane corso italiano', 'great dane']"
italian doxie,"['italian greyhound', 'dachshund']"
italian eskimo,"['italian greyhound', 'american eskimo dog']"
italian greagle,"['italian greyhound', 'beagle']"
italian grey min pin,"['italian greyhound', 'miniature pinscher']"
italian greyhuahua,"['chihuahua', 'italian greyhound']"
italian mastweiler,"['italian mastiff', 'rottweiler']"
italian papihound,"['italian greyhound', 'papillon']"
irish saint terrier,"['irish terrier', 'saint bernard']"
italian tzu,"['italian greyhound', 'shih tzu']"
italian whippet greyhound,"['whippet', 'italian greyhound']"
ja-chon,"['bichon frise', 'japanese chin']"
jacairn,"['cairn terrier', 'jack russell terrier']"
jack-a-bee,"['beagle', 'jack russell terrier']"
jack-a-poo,"['jack russell terrier', 'poodle']"
jack-a-ranian,"['jack russell terrier', 'pomeranian']"
jack chi,"['chihuahua', 'jack russell terrier']"
jack highland terrier,"['jack russell terrier', 'west highland white terrier']"
jack pit,"['jack russell terrier', 'pit bull terrier']"
jack-rat terrier,"['jack russell terrier', 'rat terrier']"
jack russell greyhound,"['jack russell terrier', 'greyhound']"
jack tzu,"['jack russell terrier', 'shih tzu']"
jackie-bichon,"['bichon frise', 'jack russell terrier']"
jackshund,"['jack russell terrier', 'dachshund']"
jackweiler,"['jack russell terrier', 'rottweiler']"
jafox,"['japanese chin', 'toy fox terrier']"
jaland,"['japanese chin', 'west highland white terrier']"
japanese chow spitz,"['japanese spitz', 'chow chow']"
japanese spitz chi,"['japanese spitz', 'chihuahua']"
japanese thai ridgespitz,"['japanese spitz', 'thai ridgeback']"
japeke,"['japanese chin', 'pekinese']"
japillon,"['japanese chin', 'papillon']"
japug,"['japanese chin', 'pug']"
jarkie,"['japanese chin', 'yorkshire terrier']"
jatese,"['japanese chin', 'maltese']"
jatzu,"['japanese chin', 'shih tzu']"
jug,"['jack russell', 'pug']"
kashon,"['bichon frise', 'cairn terrier']"
kelpie corgi,"['australian kelpie', 'corgi']"
kelpie heeler,"['australian kelpie', 'australian cattle dog']"
kelpie lab,"['australian kelpie', 'labrador retriever']"
kelpie shepherd,"['australian kelpie', 'german shepherd']"
kelpie staff,"['australian kelpie', 'american staffordshire terrier']"
kerry blue schnauzer,"['kerry blue terrier', 'schnauzer']"
kerrblushcnauz,"['kerry blue terrier', 'miniature schnauzer']"
kerry wheaten,"['kerry blue terrier', 'soft-coated wheaten']"
kimola,"['american eskimo', 'lhasa apso']"
king cavrin,"['cavalier king charles', 'cairn terrier']"
king charles yorkie,"['cavalier king charles spaniel', 'yorkshire terrier']"
king pin,"['cavalier king charles spaniel', 'miniature pinscher']"
king rat,"['cavalier king charles', 'rat terrier']"
king schnauzer,"['cavalier king charles spaniel', 'miniature schnauzer']"
king wheaten,"['cavalier king charles spaniel', 'soft coated wheaten terrier']"
kobetan,"['cocker spaniel', 'tibetan terrier']"
lab'aire,"['airedale terrier', 'labrador retriever']"
lab apso,"['labrador retriever', 'lhasa apso']"
lab pei,"['labrador retriever', 'shar pei']"
lab-pointer,"['labrador retriever', 'pointer']"
labahoula,"['labrador retriever', 'louisiana catahoula leopard dog']"
labany,"['labrador retriever', 'brittany spaniel']"
labbe,"['beagle', 'labrador retriever']"
labernard,"['labrador retriever', 'saint bernard']"
labernese,"['labrador', 'bernese mountain dog']"
labloodhound,"['bloodhound', 'labrador retriever']"
labmaraner,"['labrador retriever', 'weimaraner']"
labollie,"['labrador retriever', 'collie']"
labrabull,"['labrador retriever', 'american pit bull terrier']"
labradane,"['labrador retriever', 'great dane']"
labradinger,"['english springer spaniel', 'lab']"
labradoodle,"['labrador retriever', 'poodle']"
labrador corso,"['labrador retriever', 'cane corso italiano']"
labraheeler,"['labrador retriever', 'australian cattle dog']"
labrahuahua,"['labrador retriever', 'chihuahua']"
labrakita,"['labrador retriever', 'akita']"
labralas,"['labrador retriever', 'vizsla']"
labrasenji,"['labrador retriever', 'basenji']"
labrastaff,"['labrador retriever', 'american staffordshire terrier']"
labrottie,"['labrador retriever', 'rottweiler']"
la-chon,"['bichon frise', 'lhasa apso']"
lacasapoo,"['cock-a-poo', 'lhasa apso']"
la pom,"['-pomeranian', 'lhasa apso']"
leoberner,"['leonberger', 'bernese mountain dog']"
lha-basset,"['basset hound', 'lhasa apso']"
lha-cocker,"['cocker spaniel', 'lhasa apso']"
lhasa-corgi,"['corgi', 'lhasa apso']"
lhasa-coton,"['coton de tulear', 'lhasa apso']"
lhasa jack,"['lhasa apso', 'jack russell terrier']"
lhasa pin,"['lhasa apso', 'miniature pinscher']"
lhasa vendeen,"['lhasa apso', 'petit basset griffon vendeen']"
lhaffon,"['brussels griffon', 'lhasa apso']"
lhasalier,"['cavalier king charles', 'lhasa apso']"
lhasanese,"['lhasa apso', 'pekingese']"
lhasapoo,"['lhasa apso', 'poodle']"
lhatese,"['lhasa apso', 'maltese']"
malamute pei,"['alaskan malamute', 'shar pei']"
mal-shi,"['maltese', 'shih tzu']"
malanees,"['alaskan malamute', 'great pyrenees']"
malchi,"['chihuahua', 'maltese']"
mali-dutchie,"['belgian malinois', 'dutch shepherd']"
malinois akita,"['belgian malinois', 'akita']"
malinois greyhound,"['belgian malinois', 'greyhound']"
malinois mastiff,"['belgian malinois', 'mastiff']"
malinois x,"['belgian malinois', 'german shepherd']"
mally foxhound,"['alaskan malamute', 'foxhound']"
malteagle,"['beagle', 'maltese']"
malti-pin,"['maltese', 'miniature pinscher']"
malti-poo,"['maltese', 'poodle']"
malti-pug,"['maltese', 'pug']"
malti-py,"['maltese', 'great pyrenees']"
maltichon,"['maltese', 'bichon']"
maltipom,"['maltese', 'pomeranian']"
malton,"['cavachon', 'maltese']"
maremma kelpie,"['maremma sheepdog', 'australian kelpie']"
maremma shepherd,"['maremma sheepdog', 'german shepherd']"
maspyr,"['mastiff', 'great pyrenees']"
mastador,"['mastiff', 'labrador retriever']"
mastapeake,"['mastiff', 'chesapeake bay retriever']"
masti-bull,"['mastiff', 'bulldog']"
mastidoodle,"['mastiff', 'poodle']"
mastiff shepherd,"['mastiff', 'german shepherd']"
mauxie,"['dachshund', 'maltese']"
mauzer,"['maltese', 'miniature schnauzer']"
meagle,"['beagle', 'miniature pinscher']"
mi-kitese,"['maltese', 'mi-ki']"
mi-orkie,"['mi-ki', 'yorkshire terrier']"
min pin frise,"['bichon frise', 'miniature pinscher']"
min pin shepherd,"['miniature pinscher', 'german shepherd']"
mini australian shepterrier,"['australian terrier', 'miniature australian shepherd']"
mini bolonauzer,"['bolognese', 'miniature schnauzer']"
mini cairn pin,"['cairn terrier', 'miniature pinscher']"
mini chisoxy,"['mini fox terrier', 'chihuahua']"
mini english cocker,"['dachshund', 'english cocker spaniel']"
mini fo-chon,"['bichon frise', 'mini fox terrier']"
mini fo-tzu,"['shih tzu', 'mini fox terrier']"
mini foodle,"['poodle', 'mini fox terrier']"
mini fox beagle,"['mini fox terrier', 'beagle']"
mini fox pinscher,"['miniature pinscher', 'mini fox terrier']"
mini foxie doxie,"['mini fox terrier', 'dachshund']"
mini foxillon,"['miniature fox terrier', 'papillon']"
mini foxingese,"['pekingese', 'mini fox terrier']"
mini foxker,"['cocker spaniel', 'mini fox terrier']"
mini foxton,"['boston terrier', 'mini fox terrier']"
mini foxy rat terrier,"['american rat terrier', 'mini fox terrier']"
mini foxy russell,"['jack russell terrier', 'mini fox terrier']"
mini jafox,"['japanese chin', 'mini fox terrier']"
mini kerry blue schnauzer,"['kerry blue terrier', 'miniature schnauzer']"
mini king schnauzer,"['cavalier king charles spaniel', 'miniature schnauzer']"
mini poxer,"['pug', 'mini fox terrier']"
mini ratzer,"['miniature schnauzer', 'rat terrier']"
mini schnauzer chin,"['japanese chin', 'miniature schnauzer']"
mini schnauzer jack,"['miniature schnauzer', 'jack russell terrier']"
mini scottish fox terrier,"['scottish terrier', 'mini fox terrier']"
mini st. bernard,"['saint bernard', 'cocker spaniel']"
mini texas heeler,"['miniature australian shepherd', 'australian cattle dog']"
mini torkie,"['mini fox terrier', 'yorkie']"
mini toy foxter,"['mini fox terrier', 'toy fox terrier']"
mini wire hair snauzer,"['miniature schnauzer', 'wire fox terrier']"
mini yorkshire aussie,"['miniature australian shepherd', 'yorkshire terrier']"
miniature ausseippet,"['whippet', 'miniature australian shepherd']"
miniature aussiedoodle,"['miniature australian shepherd', 'miniature poodle']"
miniature border schnollie,"['border collie', 'miniature schnauzer']"
miniature boxer,"['boston terrier', 'boxer']"
miniature bulldog,"['bulldog', 'pug']"
miniature english bulldach,"['bulldog', 'dachshund']"
miniature french bull terrier,"['french bulldog', 'miniature bull terrier']"
miniature french schnauzer,"['french bulldog', 'miniature schnauzer']"
miniature golden retriever,"['golden retriever', 'cocker spaniel', 'poodle']"
miniature gordondoodle,"['gordon setter', 'miniature poodle']"
miniature irish wolf schnauzer,"['miniature schnauzer', 'irish wolfhound']"
miniature pinschelkhound,"['miniature pinscher', 'norwegian elkhound']"
miniature schnaupin,"['miniature schnauzer', 'min pin']"
miniature schnauzzie,"['miniature schnauzer', 'miniature australian shepherd']"
miniature schnoxie,"['dachshund', 'miniature schnauzer']"
miniboz,"['boston terrier', 'miniature schnauzer']"
minnie jack,"['jack russell terrier', 'miniature pinscher']"
minnie parson,"['parson russell terrier', 'miniature pinscher']"
morkie,"['maltese', 'yorkshire terrier']"
morkshire terrier,"['maltese', 'biewer terrier']"
mountain bulldog,"['bernese mountain dog', 'bulldog']"
mountain cur shepherd,"['mountain cur', 'german shepherd']"
mountain jack cur,"['mountain cur', 'jack russell terrier']"
mountain mastiff,"['bernese mountain dog', 'mastiff']"
muggin,"['miniature pinscher', 'pug']"
muscle mastiff,"['dogue de bordeaux', 'mastiff']"
native american newfie,"['native american indian dog', 'newfoundland']"
native american shepherd,"['native american indian dog', 'belgium shepherd']"
native american village dog,"['native american indian dog', 'german shepherd']"
neahond,"['neapolitan mastiff', 'keeshond']"
neapolitan shepherd,"['neapolitan mastiff', 'german shepherd']"
neapolitan boxer,"['neapolitan mastiff', 'boxer']"
nekita,"['akita', 'neapolitan mastiff']"
neo bullmastiff,"['bullmastiff', 'neapolitan mastiff']"
neo daniff,"['neapolitan mastiff', 'great dane']"
new labralound,"['newfoundland', 'labrador retriever']"
new rottland,"['newfoundland', 'rottweiler']"
new shep,"['newfoundland', 'german shepherd']"
newfie dane,"['newfoundland', 'great dane']"
newfypoo,"['newfoundland', 'poodle']"
norjack,"['norfolk terrier', 'jack russell terrier']"
nortese,"['norwich terrier', 'maltese x']"
norwich de tulear,"['coton de tulear', 'norwich terrier']"
old deerhound sheepdog,"['old english sheepdog', 'scottish deerhound']"
old doxie sheepdog,"['dachshund', 'old english sheepdog']"
olde boston bullchi,"['olde boston bulldogge', 'chihuahua']"
olde double bully,"['bulldog', 'olde english bulldogge']"
olde pit bulldogge,"['american pit bull terrier', 'olde english bulldogge']"
olde staff bulldogge,"['american staffordshire terrier', 'olde english bulldogge']"
olde staffybull bulldogge,"['staffordshire bull terrier', 'olde english bulldogge']"
ori pei,"['pug', 'shar-pei']"
papastzu,"['papillon', 'shih tzu']"
papeagle,"['papillon', 'beagle']"
paperanian,"['papillon', 'pomeranian']"
papi-inu,"['papillon', 'shiba inu']"
papi-poo,"['papillon', 'poodle']"
papichon,"['papillon', 'bichon']"
papigriffon,"['brussels griffon', 'papillon']"
papijack,"['papillon', 'jack russell terrier']"
papimo,"['american eskimo', 'papillon']"
papiox,"['papillon', 'toy fox terrier']"
papitese,"['maltese', 'papillon']"
papshund,"['dachshund', 'papillon']"
parsonhund,"['parson russell terrier', 'dachshund']"
patterdale doxie,"['patterdale terrier', 'dachshund']"
patterdale shepherd,"['patterdale terrier', 'german shepherd']"
patterbea,"['beagle', 'patterdale terrier']"
patterjack,"['patterdale terrier', 'jack russell']"
patterland,"['patterdale terrier', 'lakeland terrier']"
patton terrier,"['patterdale terrier', 'boston terrier']"
peagle,"['beagle', 'pekingese']"
peek-a-pom,"['pekingese', 'pomeranian']"
pek-a-rat,"['pekingese', 'rat terrier']"
pekalier,"['cavalier king charles', 'pekingese']"
pekarin,"['cairn terrier', 'pekingese']"
peke-a-boo,"['bolognese', 'pekingese']"
peke-a-chon,"['bichon frise', 'pekingese']"
peke-a-chow,"['pekingese', 'chow chow']"
peke-a-jack,"['pekingese', 'jack russell terrier']"
peke-a-pap,"['papillon', 'pekingese']"
peke-a-pin,"['miniature pinscher', 'pekingese']"
peke-a-tese,"['maltese', 'pekingese']"
peka-a-west,"['pekingnese', 'west highland white terrier']"
peke-italian,"['pekingnese', 'italian greyhound']"
pekehund,"['pekingese', 'dachshund']"
pekepoo,"['pekingese', 'poodle']"
pembroke cocker corgi,"['pembroke welsh corgi', 'american cocker spaniel']"
pembroke corgi pointer,"['pembroke welsh corgi', 'pointer']"
pembroke corman shepherd,"['pembroke welsh corgi', 'german shepherd']"
pembroke corswiss,"['pembroke welsh corgi', 'greater swiss mountain dog']"
pembroke sheltie,"['shetland sheepdog', 'pembroke welsh corgi']"
petite goldendoodle,"['golden retriever', 'cocker spaniel', 'poodle']"
petite golden retriever,"['cavalier king charles spaniel with', 'golden retriever']"
petite labradoodle,"['labrador retriever', 'cocker spaniel', 'poodle']"
pharaoh lab,"['pharaoh hound', 'labrador retriever']"
plica,"['basset hound', 'ori pei']"
plotkita,"['plott hound', 'akita']"
plottahoula,"['plott hound', 'louisiana catahoula leopard dog']"
plott rottie,"['plott hound', 'rottweiler']"
plott walker,"['plott hound', 'treeing walker coonhound']"
plush danois,"['anatolian shepherd dog', 'great dane']"
pin-tzu,"['miniature pinscher', 'shih tzu']"
pineranian,"['miniature pinscher', 'pomeranian']"
pinny-poo,"['miniature pinscher', 'poodle']"
pinweiler,"['miniature pinscher', 'rottweiler']"
pit boodle,"['pit bull', 'poodle']"
pit bullmastiff,"['american pit bull terrier', 'bullmastiff']"
pit heeler,"['american pitbull terrier', 'blue heeler']"
pit pei,"['american pit bull terrier', 'shar-pei']"
pit pin,"['american pit bull terrier', 'miniature pinscher']"
pitchow,"['american pitbull terrier', 'chow chow']"
pitweiler,"['american pit bull terrier', 'rottweiler']"
pocket pitbull,"['american pit bull terrier', 'patterdale terrier']"
pointer bay,"['german shorthaired pointer', 'chesapeake bay retriever']"
pointer pit,"['american pit bull terrier', 'pointer']"
pointollie,"['pointer', 'collie']"
pom-kee,"['pomeranian', 'keeshond']"
pom-a-nauze,"['miniature schnauzer', 'pomeranian']"
pom-a-pug,"['pomeranian', 'pug']"
pom-coton,"['coton de tulear', 'pomeranian']"
pom-shi,"['pomeranian', 'shiba inu']"
pom-silk,"['pomeranian', 'silky terrier']"
pom terrier,"['pomeranian', 'toy fox terrier']"
pomapoo,"['pomeranian', 'poodle']"
pomchi,"['pomeranian', 'chihuahua']"
pomeagle,"['beagle', 'pomeranian']"
pomerat,"['pomeranian', 'american rat terrier']"
pomimo,"['american eskimo', 'pomeranian']"
pomsky,"['pomeranian', 'husky']"
pomston,"['boston terrier', 'pomeranian']"
poo-shi,"['poodle', 'shiba inu']"
