name,breeds
beagle chin,"['beagle', 'japanese chin']"
beagle heeler,"['beagle', 'australian cattle dog']"
beagle pit,"['beagle', 'pit bull']"
beagle point,"['beagle', 'pointer']"
beagle sheltie,"['beagle', 'shetland sheepdog']"
beagle shepherd,"['beagle', 'german shepherd']"
beaglier,"['beagle', 'cavalier king charles']"
beaglolo,"['beagle', 'bolognese']"
beago,"['beagle', 'golden retriever']"
beardoodle,"['bearded collie', 'poodle']"
beaski,"['beagle', 'siberian husky']"
beauceroodle,"['beauceron', 'poodle']"
bebasset bordeaux,"['beagle', 'basset hound', 'dogue de bordeaux']"
bedlington whippet,"['bedlington terrier', 'whippet']"
belgian shepadoodle,"['belgian shepherd', 'poodle']"
belusky,"['belgian malinois', 'siberian husky']"
bernedoodle,"['bernese mountain dog', 'poodle']"
bernefie,"['bernese mountain dog', 'newfoundland  pronounced burn-ah-fee']"
berner chow,"['bernese mountain dog', 'chow chow']"
berner dane,"['great dane', 'bernese mountain dog']"
bernese cattle dog,"['bernese mountain dog', 'australian cattle dog']"
bernese rottie,"['bernese mountain dog', 'rottweiler']"
bich-poo,"['bichon frise', 'poodle']"
bichomo,"['american eskimo', 'bichon frise']"
bichon-a-ranian,"['bichon frise', 'pomeranian']"
bichon yorkie,"['bichon frise', 'yorkshire terrier']"
biton,"['bichon frise', 'coton de tulear']"
black and tan coonoodle,"['poodle', 'black and tan coonhound']"
black and tan coonshepherd,"['black and tan coonhound', 'german shepherd']"
black and tan labhound,"['black and tan coonhound', 'labrador retriever']"
black mouth pom cur,"['black mouth cur', 'pomeranian']"
black russian wolfhound terrier,"['black russian terrier', 'irish wolfhound']"
bloodahouli,"['bloodhound', 'catahoula']"
blue blood cane corso,"['alapaha blue blood bulldog', 'cane corso']"
blue spaniel,"['australian cattle dog', 'cocker spaniel']"
blue-tzu heeler,"['australian cattle dog', 'shih tzu']"
bluetick coonoodle,"['bluetick coonhound', 'poodle']"
bluetick coonhound harrier,"['bluetick coonhound', 'harrier']"
bluetick rat terrier,"['bluetick coonhound', 'rat terrier']"
bluetick walker,"['bluetick coonhound', 'treeing walker coonhound']"
bo-dach,"['boston terrier', 'dachshund']"
bo-jack,"['boston terrier', 'jack russell terrier']"
bocker,"['beagle', 'cocker spaniel']"
bodacion,"['border collie', 'dalmatian']"
boerboel bernard,"['boerboel', 'saint bernard']"
boerboel pei,"['boerboel', 'shar pei']"
boerboel pit,"['boerboel', 'pit bull terrier']"
boglen terrier,"['beagle', 'boston terrier']"
bogle,"['beagle', 'boxer']"
bolo-chi,"['bolognese', 'chihuahua']"
bolo-tzu,"['bolognese', 'shih tzu']"
bologco,"['bolognese', 'cocker spaniel']"
bololgnese bolonka,"['bichon bolognese', 'russian tsvetnaya bolonka']"
bolonauzer,"['bolognese', 'schnauzer']"
bolonoodle,"['bolognese', 'poodle']"
bolosilk,"['bolognese', 'silky terrier']"
borador,"['border collie', 'labrador retriever']"
bordeaux pitbull,"['dogue de bordeaux', 'pit bull']"
border akbash collie,"['border collie', 'akbash dog']"
border akita collie,"['border collie', 'akita']"
border-aussie,"['australian shepherd', 'border collie']"
border aussie terrollie,"['border collie', 'australian terrier']"
border basset,"['border collie', 'basset hound']"
border beagle,"['border collie', 'beagle']"
border bluetick collie,"['border collie', 'bluetick coonhound']"
border chow,"['border collie', 'chow chow']"
border collie bernard,"['border collie', 'saint bernard']"
border collie britt,"['border collie', 'brittany spaniel']"
border collie bull staffy,"['border collie', 'staffordshire bull terrier']"
border collie cocker,"['border collie', 'cocker spaniel']"
border collie lakeland,"['border collie', 'lakeland terrier']"
border collie pit,"['border collie', 'pit bull terrier']"
border collie pyrenees,"['border collie', 'great pyrenees']"
border heeler,"['border collie', 'australian cattle dog blue heeler']"
border jack,"['border collie', 'jack russell terrier']"
border kelpie,"['border collie', 'australian kelpie']"
border malamute collie,"['border collie', 'alaskan malamute']"
border malamute terrier,"['border terrier', 'alaskan malamute']"
border newfie,"['border collie', 'newfoundland']"
border point,"['border collie', 'pointer']"
border pom,"['border collie', 'pomeranian']"
border rottie,"['border collie', 'rottweiler']"
border schnollie,"['border collie', 'schnauzer']"
border sheepdog,"['border collie', 'shetland sheepdog']"
border springer,"['border collie', 'english springer spaniel']"
border whipollie,"['border collie', 'whippet']"
bordernese,"['bernese mountain dog', 'border collie']"
bordoodle,"['border collie', 'poodle']"
borgi,"['border collie', 'welsh corgi']"
borollie,"['border collie', 'collie']"
bosapso,"['boston terrier', 'lhasa apso']"
boshih,"['boston terrier', 'shih tzu']"
boskimo,"['american eskimo', 'boston terrier']"
bosmaraner,"['boston terrier', 'weimaraner']"
bospin,"['boston terrier', 'miniature pinscher']"
bossi-poo,"['boston terrier', 'poodle']"
bossie,"['boston terrier', 'australian shepherd']"
bostalian,"['boston terrier', 'italian greyhound']"
bostchon,"['boston terrier', 'bichon frise']"
bostie,"['boston terrier', 'west highland white terrier']"
bostillon,"['boston terrier', 'papillon']"
bostinese,"['boston terrier', 'pekingese']"
boston border collie,"['boston terrier', 'border collie']"
boston boxer,"['boston terrier', 'boxer']"
boston cattle dog,"['australian cattle dog', 'boston terrier']"
boston chin,"['boston terrier', 'japanese chin']"
boston huahua,"['boston terrier', 'chihuahua']"
boston iggy,"['boston terrier', 'italian greyhound']"
boston lab,"['boston terrier', 'labrador retriever']"
boston malterrier,"['boston terrier', 'maltese']"
boston mastiff terrier,"['boston terrier', 'english mastiff']"
boston spaniel,"['boston terrier', 'cocker spaniel']"
boston yorkie,"['boston terrier', 'yorkshire terrier']"
bouberman,"['bouvier des flandres', 'doberman pinscher']"
bouvador,"['bouvier des flandres', 'labrador retriever']"
boweimar,"['boxer', 'weimaraner']"
bowzer,"['basset hound', 'miniature schnauzer']"
box-a-pug,"['boxer', 'pug']"
box-a-shar,"['boxer', 'shar-pei']"
box heeler,"['boxer', 'blue heeler']"
boxer bloodhound,"['bloodhound', 'boxer']"
boxer chow,"['boxer', 'chow chow']"
boxer jack,"['boxer', 'jack russell terrier']"
boxer shepherd,"['boxer', 'german shepherd']"
boxer whippet,"['boxer', 'whippet']"
boxachi,"['boxer', 'chihuahua']"
boxador,"['boxer', 'labrador retriever']"
boxane,"['boxer', 'great dane']"
boxapoint,"['boxer', 'german shorthaired pointer']"
boxer basset,"['boxer', 'basset hound']"
boxerdoodle,"['boxer', 'poodle']"
boxerman,"['boxer', 'doberman pinscher']"
boxita,"['akita', 'boxer']"
boxmas,"['boxer', 'mastiff']"
boxmatian,"['boxer', 'dalmatian']"
boxollie,"['boxer', 'collie']"
boxsky,"['boxer', 'siberian husky']"
boxspring,"['boxer', 'english springer spaniel']"
boxweiler,"['rottweiler', 'boxer']"
brat,"['boston terrier', 'rat terrier']"
bridoodle,"['briard', 'poodle']"
brittany beagle,"['brittany', 'beagle']"
brittany bourbonnais,"['brittany spaniel', 'braque du bourbonnais']"
brittnepoo,"['brittany spaniel', 'poodle']"
broholmer pit,"['broholmer', 'american pit bull terrier']"
broodle griffon,"['brussels griffon', 'poodle']"
brottweiler,"['brussels griffon', 'rottweiler']"
brug,"['brussels griffon', 'pug']"
brussalier,"['brussels griffon', 'cavalier king charles spaniel']"
brusselranian,"['brussels griffon', 'pomeranian']"
brusston,"['boston terrier', 'brussels griffon']"
bt walker,"['boxer', 'treeing walker coonhound']"
buggs,"['boston terrier', 'pug']"
bull-aussie,"['english bulldog', 'australian shepherd']"
bull-boxer,"['english bulldog', 'boxer']"
bull chow terrier,"['bull terrier', 'chow chow']"
bull daniff,"['bullmastiff', 'great dane']"
bull greyhound terrier,"['greyhound', 'bull terrier']"
bull heeler terrier,"['bull terrier', 'australian cattle dog']"
bull jack,"['bulldog', 'jack russell terrier']"
bull mastweiler,"['bullmastiff', 'rottweiler']"
bull-pei,"['bulldog', 'chinese shar-pei']"
bullador,"['english bulldog', 'labrador retriever']"
bullbasset mastiff,"['bullmastiff', 'basset hound']"
bullboxer pit,"['boxer', 'american pit bull terrier']"
bullboxer staff,"['boxer', 'american staffordshire terrier']"
bullboxer staffy bull,"['boxer', 'staffordshire bull terrier']"
bulldog schnauzer,"['bulldog english', 'miniature schnauzer']"
bullhuahua,"['bulldog', 'chihuahua']"
bullhuahua terrier,"['bull terrier', 'chihuahua']"
bullkita,"['american bulldog', 'akita']"
bullmasador,"['bullmastiff', 'labrador retriever']"
bullmastiff shepherd,"['bullmastiff', 'german shepherd']"
bullmatian,"['bulldog', 'dalmatian']"
bullmatian terrier,"['bull terrier', 'dalmatian']"
bulloxer,"['boxer', 'american bulldog']"
bullsky mastiff,"['bullmastiff', 'siberian husky']"
bullwhip,"['bulldog', 'whippet']"
bully basset,"['basset hound', 'bulldog']"
bully bordeaux,"['bullmastiff', 'dogue de bordeaux']"
bully chi,"['american bully', 'chihuahua']"
bully kutta lab,"['bully kutta', 'labrador retriever']"
bully jack terrier,"['bull terrier', 'jack russell terrier']"
bully-tzu,"['bulldog', 'shih tzu']"
bully wheaten,"['bulldog', 'soft coated wheaten terrier']"
bullypit,"['american bulldog', 'american pit bull terrier']"
bushland terrier,"['cairn terrier', 'scottish terrier']"
cadoodle,"['collie', 'poodle']"
cairanian,"['cairn terrier', 'pomeranian']"
cairicocker,"['cairn terrier', 'cocker spaniel']"
cairland terrier,"['cairn terrier', 'westie']"
cairmal,"['cairn terrier', 'maltese']"
cairn beagle,"['cairn terrier', 'beagle']"
